주문날짜,상품명,수량,금액,평점,spend,clicks,stock_received,damaged_stock
2023-03-26,Frozen Pizza,1,186.08,4.0,2739.57,713.0,3.0,0.0
2023-03-26,Frozen Vegetables,3,1021.98,3.0,0.0,0.0,0.0,2.0
2023-03-26,Instant Noodles,2,1303.86,3.0,2916.87,917.0,0.0,0.0
2023-03-26,Lemonade,3,998.52,3.5,11993.19,2644.0,3.0,0.0
2023-03-26,Lotion,5,3088.74,2.5,17449.780000000002,3342.0,3.0,2.0
2023-03-26,Onions,2,1895.9,3.0,15576.630000000001,2680.0,3.0,2.0
2023-03-26,Orange Juice,1,264.89,4.0,12205.85,2674.0,0.0,0.0
2023-03-26,Pain Reliever,9,6357.36,3.5,20691.370000000003,4014.0,7.0,0.0
2023-03-26,Pet Treats,8,4879.47,2.75,26269.09,5540.0,3.0,0.0
2023-03-26,Potatoes,2,254.32,3.0,3724.46,1190.0,0.0,0.0
2023-03-26,Pulses,3,2336.7,3.5,18447.61,1565.0,1.0,0.0
2023-03-26,Rice,3,404.07,4.0,3685.58,118.0,0.0,2.0
2023-03-26,Soap,3,145.64999999999998,5.0,4434.81,377.0,0.0,0.0
2023-03-26,Toilet Cleaner,5,1598.51,4.0,11351.94,2342.0,5.0,2.0
2023-03-26,Toothpaste,2,1550.71,4.0,6396.44,1397.0,0.0,2.0
2023-03-26,Vitamins,2,957.58,2.0,5043.98,1303.0,3.0,0.0
2023-03-26,Wheat Flour,2,886.34,3.0,0.0,0.0,0.0,0.0
2023-04-02,Baby Wipes,5,1363.08,4.0,15354.150000000001,2160.0,3.0,0.0
2023-04-02,Biscuits,4,828.28,3.5,14034.169999999998,3485.0,0.0,0.0
2023-04-02,Bread,3,2854.29,3.0,2485.6,487.0,3.0,2.0
2023-04-02,Carrots,3,2476.38,2.0,7637.02,927.0,0.0,0.0
2023-04-02,Cat Food,4,1048.04,3.5,2500.02,984.0,4.0,2.0
2023-04-02,Cheese,8,4400.88,2.5,22670.82,4218.0,4.0,2.0
2023-04-02,Chocolates,5,1386.46,4.0,10373.41,2087.0,4.0,0.0
2023-04-02,Cola,2,844.46,4.0,4883.96,686.0,0.0,2.0
2023-04-02,Cough Syrup,3,271.68,3.5,5329.67,1631.0,0.0,0.0
2023-04-02,Detergent,1,163.03,5.0,3170.66,798.0,3.0,2.0
2023-04-02,Dish Soap,4,3414.82,2.5,16864.64,2766.0,0.0,0.0
2023-04-02,Dog Food,7,2619.65,3.6666666666666665,9688.35,1776.0,4.0,0.0
2023-04-02,Eggs,1,281.73,4.0,5550.379999999999,1222.0,4.0,0.0
2023-04-02,Frozen Biryani,4,2237.55,4.333333333333333,28561.02,5071.0,3.0,2.0
2023-04-02,Frozen Pizza,3,863.4300000000001,3.0,9001.57,1978.0,0.0,2.0
2023-04-02,Frozen Vegetables,3,1021.98,5.0,6077.88,1306.0,3.0,0.0
2023-04-02,Instant Noodles,3,688.14,3.0,9507.45,1789.0,0.0,0.0
2023-04-02,Lemonade,3,998.52,1.0,10832.310000000001,1597.0,0.0,0.0
2023-04-02,Lotion,6,5083.35,4.5,13734.910000000002,2006.0,3.0,0.0
2023-04-02,Onions,8,4883.03,4.333333333333333,17320.83,2750.0,3.0,2.0
2023-04-02,Orange Juice,5,423.75,4.0,7978.15,1709.0,0.0,0.0
2023-04-02,Pain Reliever,6,4365.18,2.0,12390.72,3160.0,4.0,0.0
2023-04-02,Pet Treats,4,2790.19,3.75,32772.47,7272.0,3.0,0.0
2023-04-02,Popcorn,2,510.7,5.0,10499.11,1846.0,0.0,0.0
2023-04-02,Spinach,2,1261.68,5.0,0.0,0.0,0.0,0.0
2023-04-02,Sugar,2,860.1600000000001,4.5,12176.64,1809.0,0.0,2.0
2023-04-02,Toilet Cleaner,6,2681.51,3.0,14759.35,3307.0,3.0,2.0
2023-04-02,Tomatoes,1,209.59,4.0,4129.05,812.0,0.0,0.0
2023-04-02,Toothpaste,3,2633.94,5.0,15707.01,2246.0,3.0,0.0
2023-04-02,Vitamins,1,715.72,3.0,6306.59,1526.0,4.0,2.0
2023-04-09,Baby Wipes,3,664.5799999999999,3.0,11229.220000000001,1429.0,6.0,4.0
2023-04-09,Bananas,3,2186.19,3.0,3873.04,744.0,0.0,0.0
2023-04-09,Biscuits,3,1449.15,2.0,1239.22,712.0,4.0,2.0
2023-04-09,Bread,3,2785.37,4.0,13086.399999999998,3258.0,3.0,2.0
2023-04-09,Butter,2,1104.4,4.0,1239.22,712.0,3.0,0.0
2023-04-09,Carrots,6,5042.42,2.3333333333333335,23072.64,4495.0,4.0,2.0
2023-04-09,Cheese,3,1114.82,4.5,18809.440000000002,2132.0,1.0,2.0
2023-04-09,Chips,4,1498.72,4.5,11408.009999999998,3344.0,6.0,4.0
2023-04-09,Cola,6,4665.360000000001,1.5,11495.310000000001,2375.0,3.0,0.0
2023-04-09,Curd,5,3694.58,3.5,8795.13,1853.0,0.0,0.0
2023-04-09,Dish Soap,4,2032.0,3.5,8368.740000000002,1793.0,0.0,0.0
2023-04-09,Dog Food,8,1889.26,2.3333333333333335,20155.510000000002,3890.0,7.0,0.0
2023-04-09,Eggs,5,1828.19,3.5,17659.190000000002,3184.0,0.0,0.0
2023-04-09,Frozen Biryani,1,369.28,4.0,5187.17,1113.0,0.0,2.0
2023-04-09,Frozen Pizza,5,1028.67,3.0,20082.39,4704.0,0.0,0.0
2023-04-09,Ice Cream,3,1849.35,4.0,3233.39,630.0,0.0,0.0
2023-04-09,Instant Noodles,3,1955.79,4.0,5579.4,825.0,0.0,0.0
2023-04-09,Lotion,6,2842.26,3.2,36904.87,6015.0,0.0,4.0
2023-04-09,Mango Drink,1,321.28,4.0,10103.28,2043.0,0.0,0.0
2023-04-09,Mangoes,6,5617.53,3.0,5112.26,1456.0,3.0,0.0
2023-04-09,Milk,3,1796.4900000000002,4.0,12547.42,2104.0,0.0,0.0
2023-04-09,Nuts,3,499.26,1.0,4985.54,990.0,0.0,0.0
2023-04-09,Onions,1,877.43,3.0,6509.77,1385.0,0.0,0.0
2023-04-09,Orange Juice,3,50.58,3.0,9390.689999999999,2568.0,0.0,2.0
2023-04-09,Pain Reliever,1,632.43,1.0,1913.55,453.0,0.0,0.0
2023-04-09,Pet Treats,7,3797.5699999999997,3.6666666666666665,30312.840000000004,5433.0,3.0,2.0
2023-04-09,Pulses,2,396.3,4.0,4985.54,990.0,4.0,0.0
2023-04-09,Salt,2,75.6,5.0,7555.91,1141.0,0.0,0.0
2023-04-09,Soap,2,967.13,4.0,7587.139999999999,787.0,0.0,4.0
2023-04-09,Sugar,3,2127.24,5.0,9455.1,1820.0,3.0,0.0
2023-04-09,Toilet Cleaner,5,1275.31,2.0,8605.19,1264.0,1.0,0.0
2023-04-09,Tomatoes,2,419.18,4.0,12547.42,2104.0,0.0,0.0
2023-04-09,Vitamins,8,6846.799999999999,2.75,27979.660000000003,4933.0,9.0,6.0
2023-04-09,Wheat Flour,5,2724.5699999999997,2.5,10846.29,1649.0,4.0,0.0
2023-04-16,Baby Food,3,2794.83,4.0,6411.12,563.0,0.0,0.0
2023-04-16,Baby Wipes,3,1412.46,2.6666666666666665,12011.029999999999,2407.0,3.0,0.0
2023-04-16,Biscuits,1,418.48,4.0,4510.43,489.0,3.0,0.0
2023-04-16,Cheese,1,319.34,4.0,7295.86,2392.0,0.0,0.0
2023-04-16,Cookies,1,951.27,1.0,12105.13,1290.0,0.0,0.0
2023-04-16,Cough Syrup,4,1966.32,3.5,10536.18,1204.0,3.0,0.0
2023-04-16,Detergent,5,905.72,2.0,14377.42,2381.0,4.0,2.0
2023-04-16,Diapers,5,4137.200000000001,4.0,2877.85,1302.0,4.0,0.0
2023-04-16,Dish Soap,1,968.94,4.0,11795.49,3267.0,4.0,2.0
2023-04-16,Eggs,4,2537.2200000000003,2.0,16871.41,3418.0,0.0,0.0
2023-04-16,Frozen Biryani,4,999.4200000000001,4.666666666666667,16997.230000000003,2347.0,8.0,0.0
2023-04-16,Frozen Pizza,4,448.28,3.5,16456.93,3800.0,0.0,0.0
2023-04-16,Frozen Vegetables,12,559.44,3.75,24133.170000000002,3608.0,3.0,0.0
2023-04-16,Instant Noodles,3,688.14,3.0,14054.98,2455.0,0.0,2.0
2023-04-16,Lotion,8,3709.4900000000002,3.75,42761.3,6066.0,0.0,2.0
2023-04-16,Mango Drink,5,3211.35,3.5,15586.63,2228.0,8.0,2.0
2023-04-16,Mangoes,8,7447.62,3.3333333333333335,29222.44,4874.0,0.0,0.0
2023-04-16,Onions,3,2632.29,1.5,21983.45,3198.0,0.0,2.0
2023-04-16,Orange Juice,3,794.67,2.0,8958.14,1902.0,0.0,0.0
2023-04-16,Pet Treats,9,6250.12,4.0,25530.7,4218.0,3.0,2.0
2023-04-16,Popcorn,3,457.65,2.0,0.0,0.0,3.0,0.0
2023-04-16,Potatoes,4,2759.89,3.0,12625.23,2802.0,0.0,0.0
2023-04-16,Pulses,3,1882.6599999999999,4.5,25124.68,3983.0,0.0,2.0
2023-04-16,Salt,5,1337.48,2.5,15369.259999999998,2465.0,4.0,4.0
2023-04-16,Shampoo,1,367.08,2.0,7913.2699999999995,1516.0,0.0,0.0
2023-04-16,Soap,3,944.87,4.0,9847.619999999999,2317.0,0.0,2.0
2023-04-16,Sugar,1,310.69,3.0,0.0,0.0,0.0,0.0
2023-04-16,Toilet Cleaner,6,4176.33,5.0,18565.41,2944.0,3.0,4.0
2023-04-16,Tomatoes,6,1686.97,3.0,23949.55,3857.0,0.0,0.0
2023-04-16,Vitamins,11,7537.7,2.75,31963.559999999998,5684.0,4.0,0.0
2023-04-16,Wheat Flour,1,443.17,5.0,3545.74,821.0,0.0,0.0
2023-04-23,Baby Food,1,236.51,4.0,11211.310000000001,971.0,0.0,2.0
2023-04-23,Baby Wipes,8,3438.94,3.0,7717.92,1729.0,6.0,4.0
2023-04-23,Bananas,3,1597.71,3.0,7717.92,1729.0,3.0,2.0
2023-04-23,Biscuits,3,841.0500000000001,3.0,7040.8,2453.0,0.0,0.0
2023-04-23,Bread,3,2525.13,4.0,22422.620000000003,1942.0,3.0,2.0
2023-04-23,Cat Food,4,2778.72,4.5,20386.6,2786.0,0.0,2.0
2023-04-23,Cheese,2,1845.28,3.0,3372.27,462.0,0.0,2.0
2023-04-23,Chips,1,96.33,3.0,11211.310000000001,971.0,0.0,0.0
2023-04-23,Cola,3,2215.38,3.0,7159.629999999999,1263.0,3.0,2.0
2023-04-23,Cookies,1,357.42,4.0,7409.58,1850.0,4.0,0.0
2023-04-23,Cough Syrup,2,1114.1799999999998,4.0,10569.81,1445.0,6.0,0.0
2023-04-23,Curd,2,963.26,3.0,7717.92,1729.0,0.0,0.0
2023-04-23,Detergent,9,3797.4100000000003,3.2,32791.03,6885.0,8.0,4.0
2023-04-23,Dog Food,4,2644.98,3.5,18504.84,4928.0,3.0,0.0
2023-04-23,Frozen Biryani,3,1425.12,3.0,13540.09,2011.0,0.0,0.0
2023-04-23,Frozen Pizza,3,558.24,4.0,3372.27,462.0,0.0,0.0
2023-04-23,Lemonade,3,998.52,3.0,10569.81,1445.0,3.0,0.0
2023-04-23,Lotion,2,639.6,1.0,2120.49,417.0,0.0,0.0
2023-04-23,Onions,2,446.54,4.0,2895.57,530.0,0.0,0.0
2023-04-23,Orange Juice,1,130.01,3.0,12975.83,2031.0,0.0,0.0
2023-04-23,Pet Treats,2,196.64,4.0,2120.49,417.0,4.0,0.0
2023-04-23,Popcorn,2,632.77,3.0,14760.33,2952.0,0.0,0.0
2023-04-23,Potatoes,3,2343.24,4.0,4918.88,817.0,3.0,2.0
2023-04-23,Pulses,1,197.39,3.0,2895.57,530.0,0.0,2.0
2023-04-23,Rice,1,71.6,5.0,11211.310000000001,971.0,4.0,0.0
2023-04-23,Shampoo,2,342.4,3.0,0.0,0.0,3.0,0.0
2023-04-23,Soap,2,896.32,4.0,7159.629999999999,1263.0,0.0,0.0
2023-04-23,Sugar,1,549.47,3.0,12367.45,2015.0,3.0,0.0
2023-04-23,Toilet Cleaner,8,4372.48,5.0,29736.68,3662.0,4.0,0.0
2023-04-23,Toothpaste,3,2018.19,2.0,7350.75,1102.0,0.0,0.0
2023-04-23,Vitamins,3,1475.35,4.0,23545.64,3476.0,7.0,0.0
2023-04-23,Wheat Flour,1,97.04,3.0,9584.79,1607.0,3.0,0.0
2023-04-30,Baby Food,1,225.21,5.0,0.0,0.0,0.0,0.0
2023-04-30,Baby Wipes,3,2821.9300000000003,3.0,11480.170000000002,2401.0,1.0,2.0
2023-04-30,Bananas,3,2186.19,3.0,0.0,0.0,3.0,0.0
2023-04-30,Bread,2,1242.49,4.5,6214.42,1963.0,3.0,2.0
2023-04-30,Carrots,4,2720.56,1.5,4588.26,981.0,0.0,2.0
2023-04-30,Cat Food,3,327.09000000000003,3.0,6915.67,918.0,3.0,0.0
2023-04-30,Cereal,3,463.5,4.0,4765.46,1336.0,4.0,2.0
2023-04-30,Cheese,6,2694.57,3.5,10527.85,1793.0,0.0,0.0
2023-04-30,Chips,2,749.36,5.0,0.0,0.0,0.0,0.0
2023-04-30,Cola,4,3106.98,2.0,31170.65,3999.0,3.0,2.0
2023-04-30,Cookies,2,1902.54,1.0,3076.29,788.0,4.0,0.0
2023-04-30,Cough Syrup,3,2592.8999999999996,4.0,5276.63,1281.0,0.0,2.0
2023-04-30,Dog Food,1,81.35,3.0,10527.85,1793.0,3.0,0.0
2023-04-30,Eggs,2,1090.98,3.0,0.0,0.0,0.0,0.0
2023-04-30,Frozen Biryani,2,950.08,5.0,2212.54,982.0,1.0,0.0
2023-04-30,Frozen Pizza,4,1151.24,2.5,15116.11,2774.0,1.0,0.0
2023-04-30,Ice Cream,5,4153.22,3.5,3688.79,180.0,0.0,0.0
2023-04-30,Iced Tea,4,3091.52,3.5,7151.4800000000005,1501.0,0.0,0.0
2023-04-30,Lemonade,3,998.52,4.0,13505.95,1653.0,0.0,0.0
2023-04-30,Lotion,4,3212.04,3.0,12803.560000000001,3536.0,0.0,2.0
2023-04-30,Mango Drink,2,1717.14,4.0,0.0,0.0,0.0,0.0
2023-04-30,Mangoes,2,1851.3,3.0,7927.02,1216.0,4.0,0.0
2023-04-30,Nuts,1,556.35,5.0,13505.95,1653.0,0.0,0.0
2023-04-30,Orange Juice,5,2503.1800000000003,3.5,12667.41,3021.0,3.0,2.0
2023-04-30,Pet Treats,5,2243.2799999999997,3.0,16495.08,3675.0,0.0,0.0
2023-04-30,Popcorn,2,651.17,3.0,20965.34,3095.0,0.0,0.0
2023-04-30,Potatoes,2,424.28,3.0,12195.92,2990.0,3.0,0.0
2023-04-30,Pulses,3,1247.25,3.5,11681.130000000001,2254.0,0.0,0.0
2023-04-30,Shampoo,3,1101.24,3.0,7927.02,1216.0,3.0,0.0
2023-04-30,Soap,4,2900.33,1.5,17194.65,2635.0,3.0,2.0
2023-04-30,Sugar,2,1098.94,4.0,13505.95,1653.0,0.0,2.0
2023-04-30,Tomatoes,4,1497.99,2.5,7805.25,1054.0,0.0,0.0
2023-04-30,Toothpaste,3,2167.26,3.0,7927.02,1216.0,0.0,0.0
2023-04-30,Vitamins,3,1787.3799999999999,4.0,22373.809999999998,4248.0,0.0,2.0
2023-04-30,Wheat Flour,1,97.04,3.0,6915.67,918.0,3.0,2.0
2023-05-07,Baby Food,6,3470.46,4.0,16040.82,2384.0,0.0,0.0
2023-05-07,Biscuits,2,970.4300000000001,2.5,24083.65,5138.0,0.0,0.0
2023-05-07,Bread,8,4810.82,2.5,24497.72,4907.0,0.0,2.0
2023-05-07,Butter,4,3429.2300000000005,4.0,7545.57,2040.0,4.0,2.0
2023-05-07,Carrots,1,354.91,4.0,8356.349999999999,1781.0,0.0,0.0
2023-05-07,Cat Food,1,887.48,4.0,2316.16,722.0,0.0,2.0
2023-05-07,Cheese,4,1243.48,3.0,29586.43,4616.0,0.0,2.0
2023-05-07,Chips,2,844.28,4.0,0.0,0.0,0.0,0.0
2023-05-07,Cola,3,2650.32,3.0,10448.94,934.0,0.0,0.0
2023-05-07,Cookies,3,712.86,1.0,6483.06,1430.0,0.0,0.0
2023-05-07,Cough Syrup,9,4219.26,3.25,24861.379999999997,3424.0,4.0,2.0
2023-05-07,Diapers,3,2482.32,1.0,2316.16,722.0,0.0,0.0
2023-05-07,Dish Soap,3,66.42,2.0,8858.67,546.0,0.0,0.0
2023-05-07,Dog Food,10,4846.01,3.0,33422.05,3873.0,4.0,2.0
2023-05-07,Eggs,8,4694.37,3.0,11811.669999999998,2148.0,0.0,0.0
2023-05-07,Frozen Biryani,12,3851.04,1.6,45548.32,8485.0,7.0,0.0
2023-05-07,Ice Cream,3,898.0500000000001,2.0,22502.77,3612.0,0.0,2.0
2023-05-07,Iced Tea,1,726.41,4.0,8156.969999999999,1222.0,0.0,0.0
2023-05-07,Lemonade,2,665.68,3.0,14640.869999999999,2599.0,0.0,0.0
2023-05-07,Lotion,8,1478.4,3.75,29010.809999999998,3687.0,4.0,6.0
2023-05-07,Mango Drink,6,3018.57,2.3333333333333335,18250.1,2756.0,0.0,0.0
2023-05-07,Mangoes,1,946.86,3.0,0.0,0.0,0.0,0.0
2023-05-07,Milk,5,2994.1500000000005,1.0,14914.76,1255.0,0.0,0.0
2023-05-07,Orange Juice,3,2644.26,5.0,8858.67,546.0,4.0,0.0
2023-05-07,Pain Reliever,2,1165.74,4.0,6056.09,709.0,0.0,2.0
2023-05-07,Pet Treats,6,3534.74,4.0,16836.61,1998.0,3.0,0.0
2023-05-07,Potatoes,3,2664.48,5.0,2316.16,722.0,0.0,0.0
2023-05-07,Pulses,6,1569.69,3.5,6410.1,2200.0,4.0,0.0
2023-05-07,Rice,1,71.6,4.0,6483.06,1430.0,0.0,0.0
2023-05-07,Salt,1,612.04,3.0,0.0,0.0,0.0,0.0
2023-05-07,Soap,3,1950.6,1.0,12451.199999999999,1909.0,0.0,2.0
2023-05-07,Spinach,3,1892.52,4.0,16538.08,3098.0,1.0,2.0
2023-05-07,Sugar,1,310.69,3.0,16538.08,3098.0,1.0,0.0
2023-05-07,Toilet Cleaner,5,1080.76,4.0,29195.200000000004,5306.0,3.0,2.0
2023-05-07,Tomatoes,3,628.77,3.0,6564.599999999999,1114.0,4.0,0.0
2023-05-07,Vitamins,2,1603.62,4.0,16538.08,3098.0,3.0,0.0
2023-05-07,Wheat Flour,1,443.17,3.0,1899.54,839.0,0.0,2.0
2023-05-14,Baby Food,4,3726.44,2.5,8680.03,2368.0,3.0,0.0
2023-05-14,Baby Wipes,3,1840.8799999999999,3.0,11528.8,2434.0,4.0,2.0
2023-05-14,Biscuits,2,1662.86,5.0,5317.6900000000005,942.0,3.0,0.0
2023-05-14,Bread,2,1490.51,3.5,19247.86,3873.0,0.0,0.0
2023-05-14,Cat Food,2,1441.9,2.0,11087.84,1062.0,3.0,0.0
2023-05-14,Cereal,6,1463.74,3.3333333333333335,22268.35,4929.0,4.0,2.0
2023-05-14,Chips,2,844.28,2.0,15260.41,3756.0,3.0,0.0
2023-05-14,Cola,2,1766.88,5.0,14093.82,1757.0,0.0,0.0
2023-05-14,Cookies,5,3568.65,3.5,19470.269999999997,3510.0,0.0,4.0
2023-05-14,Cough Syrup,12,1781.83,3.6,35875.8,5514.0,0.0,2.0
2023-05-14,Curd,1,910.44,4.0,6104.88,2315.0,0.0,2.0
2023-05-14,Detergent,2,196.79,4.0,15154.26,3040.0,0.0,4.0
2023-05-14,Diapers,2,642.66,3.0,9773.02,2094.0,0.0,2.0
2023-05-14,Dish Soap,12,6905.790000000001,3.75,15995.400000000001,2975.0,1.0,4.0
2023-05-14,Dog Food,1,81.35,3.0,6104.88,2315.0,0.0,2.0
2023-05-14,Eggs,2,1090.98,1.0,9773.02,2094.0,0.0,0.0
2023-05-14,Frozen Biryani,3,953.4,4.0,5408.1,1496.0,0.0,0.0
2023-05-14,Frozen Pizza,2,575.62,5.0,14962.630000000001,2485.0,0.0,0.0
2023-05-14,Frozen Vegetables,3,1661.31,4.0,15609.960000000001,3282.0,3.0,0.0
2023-05-14,Iced Tea,3,2179.23,5.0,1156.09,715.0,0.0,0.0
2023-05-14,Instant Noodles,4,2607.72,2.0,7278.490000000001,2190.0,8.0,0.0
2023-05-14,Lotion,1,309.62,2.0,5408.1,1496.0,0.0,0.0
2023-05-14,Mango Drink,2,1717.14,5.0,2955.57,721.0,0.0,0.0
2023-05-14,Milk,3,1796.4900000000002,4.0,3192.64,706.0,0.0,0.0
2023-05-14,Nuts,4,1475.81,3.5,9060.45,3036.0,0.0,0.0
2023-05-14,Onions,2,350.35,4.5,11324.330000000002,2850.0,1.0,0.0
2023-05-14,Orange Juice,10,5090.360000000001,2.75,26024.05,4877.0,3.0,0.0
2023-05-14,Pain Reliever,4,2480.67,3.5,12254.150000000001,1592.0,6.0,2.0
2023-05-14,Pet Treats,5,446.17999999999995,2.5,4111.66,1436.0,4.0,2.0
2023-05-14,Popcorn,1,255.35,1.0,11087.84,1062.0,0.0,0.0
2023-05-14,Potatoes,1,888.16,5.0,6019.09,1678.0,0.0,0.0
2023-05-14,Pulses,4,1010.2,4.0,11422.57,3257.0,6.0,0.0
2023-05-14,Rice,2,834.78,3.0,2955.57,721.0,3.0,0.0
2023-05-14,Shampoo,2,342.4,5.0,17082.66,3070.0,0.0,0.0
2023-05-14,Sugar,3,2127.24,3.0,9317.32,1852.0,0.0,2.0
2023-05-14,Toilet Cleaner,7,3149.27,3.3333333333333335,18109.83,3761.0,3.0,2.0
2023-05-14,Tomatoes,2,1738.44,3.0,11630.05,2377.0,0.0,0.0
2023-05-14,Toothpaste,3,2167.26,3.0,4096.0,482.0,3.0,2.0
2023-05-14,Vitamins,3,2405.43,4.0,8055.79,995.0,0.0,0.0
2023-05-14,Wheat Flour,3,1043.73,2.0,5408.1,1496.0,0.0,0.0
2023-05-21,Baby Food,3,675.63,3.0,8127.85,1320.0,3.0,0.0
2023-05-21,Baby Wipes,3,2745.56,2.5,21664.260000000002,3736.0,0.0,2.0
2023-05-21,Bananas,4,2914.92,3.5,9754.970000000001,1866.0,0.0,0.0
2023-05-21,Biscuits,2,966.1,4.0,12056.720000000001,3006.0,1.0,0.0
2023-05-21,Carrots,3,1064.73,3.0,10657.45,1811.0,0.0,0.0
2023-05-21,Cat Food,8,5372.4,4.0,14042.2,2376.0,9.0,0.0
2023-05-21,Cereal,2,577.37,2.0,21206.88,2598.0,0.0,0.0
2023-05-21,Chips,7,2860.06,2.6666666666666665,23085.18,2854.0,8.0,0.0
2023-05-21,Chocolates,3,718.14,3.5,16387.92,2529.0,0.0,0.0
2023-05-21,Cola,3,888.8100000000001,2.5,18615.53,3761.0,3.0,2.0
2023-05-21,Cough Syrup,8,3953.5600000000004,2.75,24826.3,4059.0,3.0,2.0
2023-05-21,Detergent,9,1307.54,3.0,38564.72,5117.0,0.0,0.0
2023-05-21,Dish Soap,10,4025.14,3.0,20976.01,4110.0,4.0,4.0
2023-05-21,Eggs,2,1090.98,3.0,8127.85,1320.0,0.0,0.0
2023-05-21,Frozen Biryani,2,659.58,3.0,3314.93,552.0,1.0,0.0
2023-05-21,Frozen Pizza,1,307.23,3.0,4693.06,571.0,3.0,0.0
2023-05-21,Ice Cream,1,616.45,2.0,12056.720000000001,3006.0,0.0,0.0
2023-05-21,Iced Tea,5,4003.81,3.5,9171.32,2075.0,4.0,0.0
2023-05-21,Mangoes,2,1851.3,5.0,3314.93,552.0,0.0,0.0
2023-05-21,Nuts,2,1112.7,3.0,10766.56,1021.0,4.0,2.0
2023-05-21,Onions,2,1869.5,4.0,3314.93,552.0,1.0,0.0
2023-05-21,Orange Juice,3,50.58,2.0,6262.49,1218.0,0.0,0.0
2023-05-21,Pain Reliever,4,2381.04,2.5,13799.59,4151.0,4.0,2.0
2023-05-21,Pet Treats,3,2362.2,3.0,12318.62,1833.0,4.0,0.0
2023-05-21,Popcorn,1,236.95,4.0,3314.93,552.0,0.0,0.0
2023-05-21,Potatoes,3,1224.04,4.0,17298.949999999997,3207.0,4.0,0.0
2023-05-21,Pulses,4,2752.45,4.5,17004.74,3325.0,3.0,0.0
2023-05-21,Rice,2,143.2,3.0,8127.85,1320.0,1.0,0.0
2023-05-21,Salt,1,37.8,3.0,6296.91,1928.0,0.0,0.0
2023-05-21,Shampoo,4,1343.81,3.5,9171.32,2075.0,4.0,0.0
2023-05-21,Sugar,2,680.72,4.0,6366.34,1190.0,3.0,0.0
2023-05-21,Toilet Cleaner,2,1989.12,4.0,0.0,0.0,1.0,0.0
2023-05-21,Tomatoes,3,1196.3200000000002,4.0,10817.61,2775.0,8.0,4.0
2023-05-21,Toothpaste,2,921.03,3.5,10972.759999999998,2449.0,7.0,0.0
2023-05-21,Vitamins,4,2389.92,3.0,15202.029999999999,3426.0,6.0,2.0
