주간_시작일,상품명,target_audience,수량,금액,평점,배송소요시간,카테고리,브랜드,spend,clicks,impressions,conversions,roas
2023-09-11,Baby Food,All,3,2794.83,4.0,16.0,Baby Care,Karnik PLC,30036.54,5483,65289,552,3.019090909090909
2023-09-11,Baby Food,Premium,3,675.63,3.0,17.0,Baby Care,Sehgal-Nagarajan,65410.74,10247,95475,1151,2.3466666666666667
2023-09-18,Baby Food,Inactive,1,931.61,3.0,15.0,Baby Care,Karnik PLC,34751.3,4847,57901,622,2.4541666666666666
2023-09-25,Baby Food,All,2,473.02,5.0,15.0,Baby Care,Kashyap-Reddy,42233.72,8621,81010,766,2.8833333333333333
2023-09-25,Baby Food,New Users,2,473.02,4.0,21.0,Baby Care,Kashyap-Reddy,42890.94,6148,78650,738,2.829230769230769
2023-10-02,Baby Food,All,5,3315.0699999999997,4.666666666666667,15.0,Baby Care,Karnik PLC,43100.62,7506,74614,738,2.988571428571429
2023-10-02,Baby Food,New Users,2,1863.22,4.0,22.0,Baby Care,Karnik PLC,66260.29000000001,9576,101616,920,2.772777777777778
2023-10-09,Baby Food,All,2,1863.22,3.0,17.0,Baby Care,Karnik PLC,39382.64,5060,56303,680,3.1174999999999997
2023-10-16,Baby Food,All,2,450.42,5.0,19.0,Baby Care,Sehgal-Nagarajan,37222.0,6480,80774,625,3.0233333333333334
2023-10-16,Baby Food,New Users,3,2794.83,2.0,26.0,Baby Care,Karnik PLC,42603.69,8544,77708,811,2.598
2023-10-23,Baby Food,All,3,568.41,4.0,27.0,Baby Care,"Garg, Saraf and Dutta",49267.14,8602,116233,1092,2.67
2023-10-23,Baby Food,Premium,1,931.61,2.0,9.0,Baby Care,Karnik PLC,53661.89,10578,94053,1031,2.6783333333333332
2023-10-30,Baby Food,All,4,1176.08,1.0,20.5,Baby Care,"Garg, Saraf and Dutta",48885.58,8835,76331,664,2.697857142857143
2023-10-30,Baby Food,Inactive,1,931.61,3.0,10.0,Baby Care,Karnik PLC,48603.88,8832,80084,705,2.8993333333333333
2023-11-06,Baby Food,All,3,2794.83,4.0,14.0,Baby Care,Karnik PLC,36042.15,6787,66737,767,2.924285714285714
2023-11-06,Baby Food,New Users,3,2744.64,1.0,34.0,Baby Care,Mallick PLC,47853.24,8348,84252,1090,3.238235294117647
2023-11-13,Baby Food,All,2,1863.22,5.0,24.0,Baby Care,Karnik PLC,37227.729999999996,6464,74209,558,2.5175
2023-11-13,Baby Food,Premium,3,568.41,3.0,8.0,Baby Care,"Garg, Saraf and Dutta",49246.76,7391,86469,724,2.6806666666666668
2023-11-20,Baby Food,Inactive,3,2794.83,5.0,48.0,Baby Care,Karnik PLC,39585.86,7905,65483,729,2.5942857142857143
2023-11-27,Baby Food,Inactive,1,931.61,5.0,36.0,Baby Care,Karnik PLC,44676.42,6851,72278,636,2.772307692307692
2023-12-04,Baby Food,All,2,450.42,2.0,27.0,Baby Care,Sehgal-Nagarajan,74095.13,12988,120690,1190,2.7934782608695654
2023-12-11,Baby Food,All,4,1590.51,2.5,22.5,Baby Care,Mallick PLC,54870.52,8217,90832,969,2.8327777777777774
2023-12-11,Baby Food,New Users,2,378.94,3.0,22.0,Baby Care,"Garg, Saraf and Dutta",68191.95,13037,150904,1270,2.78375
2023-12-18,Baby Food,Inactive,2,1215.34,1.0,13.0,Baby Care,Srinivas PLC,59080.48,10568,99576,1051,2.7649999999999997
2023-12-25,Baby Food,Premium,1,931.61,4.0,23.0,Baby Care,Karnik PLC,41944.23,8368,77566,793,2.728
2024-01-01,Baby Food,All,3,1823.01,1.0,11.0,Baby Care,Srinivas PLC,63804.51,9252,118564,1275,2.4690000000000003
2024-01-01,Baby Food,Premium,3,568.41,1.0,20.0,Baby Care,"Garg, Saraf and Dutta",53382.9,9502,87521,899,2.651111111111111
2024-01-08,Baby Food,Premium,2,414.68,4.5,8.5,Baby Care,Sehgal-Nagarajan,48236.82,8962,76452,826,2.7866666666666666
2024-01-22,Baby Food,All,3,2794.83,3.0,18.0,Baby Care,Karnik PLC,36017.84,6091,53887,719,2.796666666666667
2024-01-22,Baby Food,Inactive,2,473.02,3.0,20.0,Baby Care,Kashyap-Reddy,52601.24,9429,90257,864,2.7123529411764706
2024-01-22,Baby Food,Premium,2,1215.34,4.0,19.0,Baby Care,Srinivas PLC,41561.61,7344,64736,803,2.5613333333333332
2024-01-29,Baby Food,New Users,1,914.88,3.0,16.0,Baby Care,Mallick PLC,52265.43,12524,114664,1044,2.5005263157894735
2024-01-29,Baby Food,Premium,1,236.51,4.0,19.0,Baby Care,Kashyap-Reddy,54636.56,8867,103201,960,3.0655555555555556
2024-02-12,Baby Food,All,2,1829.76,3.0,21.0,Baby Care,Mallick PLC,50977.15,8747,88241,792,2.40875
2024-02-26,Baby Food,All,3,675.63,5.0,11.0,Baby Care,Sehgal-Nagarajan,45479.43,7248,71803,860,2.632857142857143
2024-03-04,Baby Food,Inactive,2,378.94,4.0,18.0,Baby Care,"Garg, Saraf and Dutta",47258.07,8280,84128,776,2.742
2024-03-04,Baby Food,New Users,2,832.88,4.5,33.0,Baby Care,Srinivas PLC,47136.08,8818,81728,887,2.6925
2024-03-11,Baby Food,All,3,675.63,4.0,21.0,Baby Care,Sehgal-Nagarajan,63053.08,11806,126922,1426,2.591818181818182
2024-03-11,Baby Food,New Users,3,675.63,3.5,13.0,Baby Care,Sehgal-Nagarajan,47887.22,6132,69665,865,2.805
2024-03-18,Baby Food,New Users,3,709.53,4.0,20.0,Baby Care,Kashyap-Reddy,68871.54,11156,110146,1104,2.9025
2024-03-25,Baby Food,All,3,2744.64,4.0,39.0,Baby Care,Mallick PLC,46583.74,8746,97499,960,2.462222222222222
2024-04-01,Baby Food,Inactive,2,1215.34,2.0,22.0,Baby Care,Srinivas PLC,50553.270000000004,10414,87494,809,2.5146666666666664
2024-04-08,Baby Food,Inactive,2,1863.22,3.0,11.0,Baby Care,Karnik PLC,42754.24,6280,73242,593,2.902307692307692
2024-04-15,Baby Food,All,4,3676.25,2.5,9.5,Baby Care,Karnik PLC,71479.47,11886,118898,1307,2.838181818181818
2024-04-15,Baby Food,New Users,1,607.67,4.0,38.0,Baby Care,Srinivas PLC,57591.46,7723,84026,908,2.848235294117647
2024-04-22,Baby Food,All,3,2744.64,3.0,22.0,Baby Care,Mallick PLC,56313.44,10511,97729,869,2.7325
2024-04-22,Baby Food,New Users,3,1823.01,4.0,12.0,Baby Care,Srinivas PLC,31959.11,7720,86281,791,3.1738461538461538
2024-04-22,Baby Food,Premium,2,1215.34,5.0,17.0,Baby Care,Srinivas PLC,47550.15,8368,96074,822,2.71625
2024-05-06,Baby Food,All,1,914.88,3.0,24.0,Baby Care,Mallick PLC,39379.14,8075,87199,752,2.7742857142857145
2024-05-06,Baby Food,New Users,2,1829.76,5.0,12.0,Baby Care,Mallick PLC,52899.01,8078,61365,799,2.6592857142857143
2024-05-20,Baby Food,All,2,1863.22,5.0,18.0,Baby Care,Karnik PLC,35856.88,6902,63570,538,2.429
2024-05-27,Baby Food,Inactive,2,1863.22,4.0,18.0,Baby Care,Karnik PLC,49732.200000000004,8554,94548,965,2.5341176470588236
2024-06-10,Baby Food,All,3,568.41,1.0,16.0,Baby Care,"Garg, Saraf and Dutta",61525.72,13487,115742,1190,2.4956521739130433
2024-06-10,Baby Food,Inactive,2,1829.76,4.0,10.0,Baby Care,Mallick PLC,44072.76,7150,80528,787,2.670714285714286
2024-06-10,Baby Food,New Users,3,2744.64,5.0,11.0,Baby Care,Mallick PLC,52904.81,9000,102343,859,2.7894117647058825
2024-06-10,Baby Food,Premium,1,236.51,1.0,10.0,Baby Care,Kashyap-Reddy,22534.43,4202,59440,313,2.628888888888889
2024-06-17,Baby Food,Premium,1,189.47,1.0,30.0,Baby Care,"Garg, Saraf and Dutta",48445.21,9460,91713,656,2.45625
2024-06-24,Baby Food,All,1,236.51,4.0,16.0,Baby Care,Kashyap-Reddy,40979.47,6333,83815,647,2.8575
2024-06-24,Baby Food,Inactive,2,473.02,4.0,21.0,Baby Care,Kashyap-Reddy,44085.83,7835,68802,957,2.520625
2024-07-01,Baby Food,All,2,1863.22,5.0,12.0,Baby Care,Karnik PLC,58852.15,11818,77202,906,2.663333333333333
2024-07-01,Baby Food,Inactive,2,1829.76,1.0,11.0,Baby Care,Mallick PLC,72056.73,10317,110819,1108,2.58
2024-07-08,Baby Food,All,2,473.02,3.0,13.0,Baby Care,Kashyap-Reddy,47402.85,7660,93998,842,2.634375
2024-07-08,Baby Food,Premium,3,675.63,5.0,9.0,Baby Care,Sehgal-Nagarajan,56124.15,12405,111009,841,2.685263157894737
2024-07-15,Baby Food,Inactive,3,709.53,4.0,19.0,Baby Care,Kashyap-Reddy,45646.76,9136,93822,807,2.7246666666666663
2024-07-22,Baby Food,New Users,3,675.63,2.0,15.0,Baby Care,Sehgal-Nagarajan,48996.67,8624,74539,985,2.82375
2024-07-29,Baby Food,New Users,2,473.02,1.0,27.0,Baby Care,Kashyap-Reddy,40605.7,7246,83915,739,2.8400000000000003
2024-08-05,Baby Food,New Users,1,914.88,4.0,22.0,Baby Care,Mallick PLC,39713.62,7291,85509,815,2.8857142857142857
2024-08-12,Baby Food,Inactive,3,568.41,5.0,20.0,Baby Care,"Garg, Saraf and Dutta",60186.090000000004,10495,95509,1056,2.843888888888889
2024-08-12,Baby Food,New Users,3,675.63,3.0,15.0,Baby Care,Sehgal-Nagarajan,42068.48,9251,86974,730,3.0493333333333337
2024-08-19,Baby Food,All,3,1823.01,4.0,24.0,Baby Care,Srinivas PLC,42931.78,7630,83765,1040,2.683333333333333
2024-08-26,Baby Food,Inactive,2,1863.22,4.0,22.0,Baby Care,Karnik PLC,42613.38,7763,87084,906,2.865
2024-09-02,Baby Food,Inactive,4,923.44,2.5,17.5,Baby Care,Sehgal-Nagarajan,33369.62,4976,55677,663,2.6954545454545453
2024-09-16,Baby Food,Inactive,2,378.94,3.0,21.0,Baby Care,"Garg, Saraf and Dutta",30729.329999999998,6748,48770,528,2.5654545454545454
2024-10-07,Baby Food,All,1,225.21,5.0,16.0,Baby Care,Sehgal-Nagarajan,56869.71,13097,85010,878,3.0123529411764705
2024-10-07,Baby Food,Premium,2,1829.76,5.0,30.0,Baby Care,Mallick PLC,61111.5,8919,102961,1088,2.5545
2024-10-14,Baby Food,New Users,1,225.21,1.0,18.0,Baby Care,Sehgal-Nagarajan,44940.66,9939,70149,1089,3.1075
2024-10-14,Baby Food,Premium,3,709.53,2.0,35.0,Baby Care,Kashyap-Reddy,46563.91,10065,84660,753,2.6262499999999998
2024-10-21,Baby Food,All,1,931.61,4.0,29.0,Baby Care,Karnik PLC,42054.95,7499,64990,710,2.8969230769230765
2024-10-21,Baby Food,Premium,3,2794.83,5.0,12.0,Baby Care,Karnik PLC,47361.82,7235,89071,841,2.356
2024-10-28,Baby Food,All,1,931.61,2.0,18.0,Baby Care,Karnik PLC,54789.89,10106,108833,1223,2.723
2023-03-13,Baby Wipes,New Users,3,1280.16,4.0,15.0,Baby Care,Narula Group,24045.32,5249,52495,436,2.82875
2023-03-13,Baby Wipes,Premium,2,1726.36,5.0,10.0,Baby Care,Dora-Pillai,9385.08,2244,18475,154,2.3733333333333335
2023-03-27,Baby Wipes,All,2,853.44,4.0,27.0,Baby Care,Narula Group,46757.7,8393,96262,880,2.623125
2023-03-27,Baby Wipes,New Users,3,509.64,4.0,17.0,Baby Care,Morar-Mistry,39971.66,8049,69942,964,3.0021428571428572
2023-04-03,Baby Wipes,New Users,2,550.06,2.0,20.0,Baby Care,Loyal Inc,44288.06,6497,64494,916,2.6692307692307695
2023-04-03,Baby Wipes,Premium,1,114.52,4.0,17.0,Baby Care,Lall LLC,45935.7,9014,108996,961,2.818125
2023-04-10,Baby Wipes,All,1,863.18,3.0,17.0,Baby Care,Dora-Pillai,57264.25,10549,103859,1019,2.7889473684210526
2023-04-10,Baby Wipes,New Users,2,549.28,2.5,17.0,Baby Care,Loyal Inc,45597.33,7144,78983,875,3.1538461538461537
2023-04-17,Baby Wipes,New Users,8,3438.94,3.0,23.333333333333332,Baby Care,Dora-Pillai,35359.79,5455,64341,577,2.518181818181818
2023-04-24,Baby Wipes,All,2,1880.74,4.0,19.5,Baby Care,Ranganathan-Peri,37049.9,7762,65981,646,2.4781818181818185
2023-04-24,Baby Wipes,Inactive,1,941.19,1.0,9.0,Baby Care,Ranganathan-Peri,44161.76,8579,75686,663,2.818
2023-05-08,Baby Wipes,All,3,1840.8799999999999,3.0,21.5,Baby Care,Lall LLC,43120.64,8427,84971,717,2.6133333333333337
2023-05-15,Baby Wipes,All,1,863.18,2.0,13.0,Baby Care,Dora-Pillai,52672.02,10653,82908,1130,3.167222222222222
2023-05-15,Baby Wipes,Premium,2,1882.38,3.0,20.0,Baby Care,Ranganathan-Peri,41141.54,8323,78769,783,2.9407692307692312
2023-05-22,Baby Wipes,All,3,825.0899999999999,4.0,14.0,Baby Care,Loyal Inc,54328.75,7469,85198,791,3.136
2023-05-22,Baby Wipes,New Users,1,941.19,4.0,17.0,Baby Care,Ranganathan-Peri,45888.2,7480,74625,659,2.7521428571428572
2023-05-29,Baby Wipes,All,1,275.03,5.0,8.0,Baby Care,Loyal Inc,47734.03,6686,64987,859,2.245714285714286
2023-05-29,Baby Wipes,Inactive,3,343.56,4.0,9.0,Baby Care,Lall LLC,72971.98,11840,124348,1406,2.623913043478261
2023-05-29,Baby Wipes,New Users,3,822.75,3.0,14.0,Baby Care,Balakrishnan Ltd,48001.06,8699,81104,911,2.968125
2023-06-05,Baby Wipes,All,2,339.76,3.0,28.0,Baby Care,Morar-Mistry,24321.56,4239,52818,470,2.7344444444444442
2023-06-05,Baby Wipes,Inactive,2,541.24,2.5,16.0,Baby Care,Narula Group,48968.97,9677,102613,972,2.88
2023-06-12,Baby Wipes,All,1,169.88,4.0,11.0,Baby Care,Morar-Mistry,65846.36,9428,106752,840,2.7045000000000003
2023-06-12,Baby Wipes,Inactive,1,274.25,4.0,17.0,Baby Care,Balakrishnan Ltd,35757.04,8441,73213,833,2.9614285714285713
2023-06-12,Baby Wipes,Premium,1,274.25,4.0,29.0,Baby Care,Balakrishnan Ltd,52403.07,8101,94266,943,2.827058823529412
2023-06-19,Baby Wipes,New Users,3,503.28999999999996,2.0,19.0,Baby Care,Balakrishnan Ltd,42037.32,8303,82964,811,2.697142857142857
2023-06-19,Baby Wipes,Premium,3,825.0899999999999,1.0,18.0,Baby Care,Loyal Inc,39884.53,6358,88402,929,2.857142857142857
2023-06-26,Baby Wipes,All,3,509.64,4.0,25.0,Baby Care,Morar-Mistry,32417.34,6409,45535,693,2.715
2023-06-26,Baby Wipes,New Users,3,822.75,4.0,24.5,Baby Care,Balakrishnan Ltd,47873.51,10316,96487,732,2.69375
2023-06-26,Baby Wipes,Premium,3,2823.57,3.0,17.0,Baby Care,Ranganathan-Peri,49277.21,10019,105087,942,2.868235294117647
2023-07-03,Baby Wipes,All,1,426.72,1.0,12.0,Baby Care,Narula Group,37956.409999999996,8498,78114,796,2.666153846153846
2023-07-03,Baby Wipes,Inactive,1,275.03,3.0,10.0,Baby Care,Loyal Inc,43269.45,5844,54507,661,2.9933333333333336
2023-07-03,Baby Wipes,Premium,2,1109.4299999999998,3.5,19.5,Baby Care,Morar-Mistry,42389.51,7869,85360,847,2.7786666666666666
2023-07-10,Baby Wipes,Premium,2,548.5,4.0,15.0,Baby Care,Balakrishnan Ltd,59156.94,10077,84871,1060,2.8117647058823527
2023-07-17,Baby Wipes,Inactive,2,548.5,5.0,24.0,Baby Care,Balakrishnan Ltd,53340.71,11576,101180,807,2.7725
2023-07-24,Baby Wipes,Inactive,3,2048.98,5.0,21.0,Baby Care,Talwar and Sons,40968.46,6868,105142,735,2.4766666666666666
2023-07-24,Baby Wipes,Premium,1,114.52,4.0,23.0,Baby Care,Lall LLC,48265.82,8435,103331,926,2.58875
2023-07-31,Baby Wipes,All,4,3529.09,2.5,20.0,Baby Care,Talwar and Sons,36304.24,6213,64302,771,2.732727272727273
2023-07-31,Baby Wipes,Premium,1,114.52,2.0,17.0,Baby Care,Lall LLC,54607.26,7914,83940,996,2.642777777777778
2023-08-07,Baby Wipes,New Users,2,1726.36,2.0,19.0,Baby Care,Dora-Pillai,82206.24,12667,122689,1282,2.6925000000000003
2023-08-14,Baby Wipes,New Users,3,1280.16,4.0,10.0,Baby Care,Narula Group,45510.28,5878,85459,823,2.7542857142857144
2023-09-04,Baby Wipes,All,4,992.63,3.0,14.5,Baby Care,Morar-Mistry,41361.89,8611,90427,695,2.467142857142857
2023-09-04,Baby Wipes,Inactive,7,3918.77,2.3333333333333335,18.0,Baby Care,Talwar and Sons,73121.94,13862,135099,1640,2.486666666666667
2023-09-04,Baby Wipes,New Users,1,941.19,2.0,16.0,Baby Care,Ranganathan-Peri,37961.32,7021,51294,611,2.64
2023-09-04,Baby Wipes,Premium,1,863.18,1.0,43.0,Baby Care,Dora-Pillai,44147.53,7998,76957,694,3.040714285714286
2023-09-11,Baby Wipes,Inactive,2,339.76,3.0,17.0,Baby Care,Morar-Mistry,42408.62,8023,72408,811,2.5435714285714286
2023-09-11,Baby Wipes,New Users,1,274.25,1.0,20.0,Baby Care,Balakrishnan Ltd,54414.37,9344,117560,1089,2.739
2023-09-18,Baby Wipes,Inactive,1,426.72,3.0,20.0,Baby Care,Narula Group,34751.3,4847,57901,622,2.4541666666666666
2023-09-25,Baby Wipes,All,1,114.52,4.0,11.0,Baby Care,Lall LLC,42233.72,8621,81010,766,2.8833333333333333
2023-09-25,Baby Wipes,Premium,4,2218.8599999999997,5.0,18.0,Baby Care,Morar-Mistry,57554.71,8979,126897,1013,2.6420000000000003
2023-10-02,Baby Wipes,All,3,343.56,5.0,16.0,Baby Care,Lall LLC,43100.62,7506,74614,738,2.988571428571429
2023-10-09,Baby Wipes,All,2,1726.36,1.0,21.0,Baby Care,Dora-Pillai,39382.64,5060,56303,680,3.1174999999999997
2023-10-09,Baby Wipes,Inactive,3,2818.65,1.0,17.0,Baby Care,Talwar and Sons,58762.05,8467,88234,1093,2.5349999999999997
2023-10-09,Baby Wipes,Premium,5,2236.0,1.0,31.0,Baby Care,Dora-Pillai,51550.2,9636,73742,906,2.926875
2023-10-23,Baby Wipes,New Users,10,3121.71,3.75,29.75,Baby Care,Lall LLC,14268.95,4145,49901,428,2.575714285714286
2023-10-30,Baby Wipes,Inactive,1,863.18,3.0,14.0,Baby Care,Dora-Pillai,48603.88,8832,80084,705,2.8993333333333333
2023-10-30,Baby Wipes,New Users,3,343.56,3.0,15.0,Baby Care,Lall LLC,42214.14,9200,104301,1120,2.643529411764706
2023-11-06,Baby Wipes,All,3,1280.16,4.0,13.0,Baby Care,Narula Group,36042.15,6787,66737,767,2.924285714285714
2023-11-13,Baby Wipes,All,3,822.75,5.0,16.0,Baby Care,Balakrishnan Ltd,37227.729999999996,6464,74209,558,2.5175
2023-11-13,Baby Wipes,Inactive,2,1879.1,1.0,20.0,Baby Care,Talwar and Sons,51092.15,12733,111478,1360,2.894761904761905
2023-11-20,Baby Wipes,Inactive,3,2823.57,4.0,13.0,Baby Care,Ranganathan-Peri,39585.86,7905,65483,729,2.5942857142857143
2023-11-20,Baby Wipes,Premium,1,169.88,4.0,18.0,Baby Care,Morar-Mistry,40507.58,8257,78148,832,2.866153846153846
2023-11-27,Baby Wipes,Inactive,1,426.72,4.0,21.0,Baby Care,Narula Group,44676.42,6851,72278,636,2.772307692307692
2023-12-04,Baby Wipes,All,2,1726.36,3.0,10.0,Baby Care,Dora-Pillai,74095.13,12988,120690,1190,2.7934782608695654
2023-12-04,Baby Wipes,Inactive,1,274.25,4.0,20.0,Baby Care,Balakrishnan Ltd,53880.52,9401,102698,1025,2.716111111111111
2023-12-18,Baby Wipes,All,1,114.52,2.0,17.0,Baby Care,Lall LLC,36874.94,7473,78834,537,2.8561538461538465
2023-12-25,Baby Wipes,All,3,2818.65,3.0,31.0,Baby Care,Talwar and Sons,41725.66,8244,74462,725,2.5140000000000002
2023-12-25,Baby Wipes,New Users,2,1879.1,4.0,10.0,Baby Care,Talwar and Sons,33957.14,4155,53450,559,2.5645454545454545
2024-01-01,Baby Wipes,All,2,853.44,3.0,12.0,Baby Care,Narula Group,63804.51,9252,118564,1275,2.4690000000000003
2024-01-01,Baby Wipes,New Users,2,1882.38,4.0,20.0,Baby Care,Ranganathan-Peri,40567.59,6335,73513,947,2.742
2024-01-08,Baby Wipes,All,1,941.19,5.0,9.0,Baby Care,Ranganathan-Peri,60311.16,10139,82895,950,2.6038888888888887
2024-01-08,Baby Wipes,New Users,2,339.76,3.0,15.0,Baby Care,Morar-Mistry,52948.66,12384,95957,987,2.83
2024-01-15,Baby Wipes,Premium,3,2823.57,3.0,29.0,Baby Care,Ranganathan-Peri,60751.6,12517,98291,889,2.859
2024-01-22,Baby Wipes,Inactive,3,509.64,3.0,10.0,Baby Care,Morar-Mistry,52601.24,9429,90257,864,2.7123529411764706
2024-01-29,Baby Wipes,All,1,114.52,4.0,17.0,Baby Care,Lall LLC,47189.21,9148,89216,874,2.998125
2024-02-05,Baby Wipes,All,6,3162.21,1.0,19.5,Baby Care,Lall LLC,52889.51,9910,92258,1033,3.1705555555555556
2024-02-05,Baby Wipes,New Users,1,114.52,4.0,14.0,Baby Care,Lall LLC,50180.9,11189,94212,1084,2.7083333333333335
2024-02-12,Baby Wipes,New Users,3,343.56,4.0,24.0,Baby Care,Lall LLC,40265.97,7567,87260,927,2.4705882352941178
2024-02-19,Baby Wipes,Premium,6,5565.85,3.0,12.0,Baby Care,Talwar and Sons,62563.49,10956,101004,1019,2.813684210526316
2024-02-26,Baby Wipes,Inactive,1,275.03,3.0,28.0,Baby Care,Loyal Inc,65180.04,10819,89375,1008,2.828888888888889
2024-02-26,Baby Wipes,Premium,1,426.72,1.0,35.0,Baby Care,Narula Group,27401.34,7372,53516,576,2.812727272727273
2024-03-11,Baby Wipes,All,5,1711.47,4.0,19.333333333333332,Baby Care,Ranganathan-Peri,63053.08,11806,126922,1426,2.591818181818182
2024-03-18,Baby Wipes,Inactive,3,343.56,3.0,16.0,Baby Care,Lall LLC,40988.69,7500,69333,826,2.5961538461538463
2024-03-25,Baby Wipes,Inactive,3,343.56,4.0,22.0,Baby Care,Lall LLC,47899.48,8783,92801,791,2.66375
2024-03-25,Baby Wipes,New Users,1,939.55,1.0,15.0,Baby Care,Talwar and Sons,43831.46,6865,87257,633,2.6438461538461535
2024-03-25,Baby Wipes,Premium,3,2823.57,2.0,17.0,Baby Care,Ranganathan-Peri,47897.03,8926,110912,947,3.10625
2024-04-08,Baby Wipes,Inactive,4,1955.3999999999999,3.5,28.5,Baby Care,Lall LLC,42754.24,6280,73242,593,2.902307692307692
2024-04-15,Baby Wipes,All,3,967.96,4.0,18.0,Baby Care,Lall LLC,71479.47,11886,118898,1307,2.838181818181818
2024-04-15,Baby Wipes,Premium,5,2069.92,4.0,16.0,Baby Care,Lall LLC,39787.88,7161,64296,825,2.795714285714286
2024-04-22,Baby Wipes,Inactive,3,343.56,4.0,28.0,Baby Care,Lall LLC,45856.72,7983,87673,709,2.7028571428571433
2024-04-22,Baby Wipes,New Users,1,169.88,3.0,15.0,Baby Care,Morar-Mistry,31959.11,7720,86281,791,3.1738461538461538
2024-04-22,Baby Wipes,Premium,3,664.5799999999999,3.5,15.5,Baby Care,Loyal Inc,47550.15,8368,96074,822,2.71625
2024-04-29,Baby Wipes,Inactive,3,2823.57,1.0,7.0,Baby Care,Ranganathan-Peri,47321.82,8809,56326,812,2.6425
2024-04-29,Baby Wipes,New Users,1,863.18,4.0,10.0,Baby Care,Dora-Pillai,47713.35,8335,91571,727,2.9957142857142856
2024-05-06,Baby Wipes,All,1,275.03,4.0,22.0,Baby Care,Loyal Inc,39379.14,8075,87199,752,2.7742857142857145
2024-05-06,Baby Wipes,Inactive,2,853.44,3.0,9.0,Baby Care,Narula Group,46054.01,7488,81235,1099,2.833125
2024-05-06,Baby Wipes,New Users,2,1879.1,4.0,21.0,Baby Care,Talwar and Sons,52899.01,8078,61365,799,2.6592857142857143
2024-05-20,Baby Wipes,Inactive,2,550.06,3.0,15.0,Baby Care,Loyal Inc,40423.51,7093,59479,709,2.7758333333333334
