주문_ID,고객_ID_주문,주문일자,약속_배송시간,실제_배송시간,배송_소요시간_분,배송상태_주문,상품_ID,단가,상품명,카테고리,브랜드,가격,정가_MRP,마진율_퍼센트,유통기한_일수,거리_km,지연_사유,평점,피드백_내용,피드백_카테고리,피드백_일자
8195544338,26199489,2023-04-26,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,Slightly Delayed,131937,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,1.16,Traffic,4,"Nothing to complain about, but nothing exceptional.",Delivery,2023-04-26
2889700050,84848018,2024-04-30,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,On Time,798639,211.25,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,3.07,Traffic,4,"Average experience, could improve.",Delivery,2024-04-30
65827885,47577193,2023-07-27,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,On Time,324809,608.0,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,1.65,,1,Product was damaged during delivery.,Delivery,2023-07-27
4656471694,60728956,2023-12-09,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,Slightly Delayed,679284,877.89,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,3.7,Traffic,3,Not worth the price I paid.,Customer Service,2023-12-09
6625178717,62068277,2023-07-01,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,Slightly Delayed,952168,236.95,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95,364.54,35.0,90,4.22,Traffic,2,Items were missing from my order.,Product Quality,2023-07-01
7169557514,84824280,2023-03-21,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,Slightly Delayed,706112,478.79,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79,598.49,20.0,365,3.28,Traffic,2,Customer service was not helpful.,Product Quality,2023-03-21
2268306684,66742602,2024-05-28,2024-05-28 15:11:08,2024-05-28 15:10:08,-1.0,On Time,812607,416.65,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,1.82,,5,"Overall good experience, thank you!",Delivery,2024-05-28
6905293278,97259564,2024-06-16,2024-06-16 10:36:23,2024-06-16 11:02:23,26.0,Significantly Delayed,799952,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,0.58,Traffic,3,"It was okay, nothing special.",Delivery,2024-06-16
1769493463,3292927,2024-06-26,2024-06-26 07:29:47,2024-06-26 07:24:47,-5.0,On Time,709916,33.76,Detergent,Household Care,Varkey LLC,33.76,45.01,25.0,365,1.21,,2,I had a bad experience.,App Experience,2024-06-26
5003387344,26592009,2024-06-23,2024-06-23 11:05:47,2024-06-23 11:00:47,-5.0,On Time,67197,552.2,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7,4.52,,4,"Nothing to complain about, but nothing exceptional.",Delivery,2024-06-23
2064484752,89995124,2024-05-07,2024-05-07 23:00:49,2024-05-07 22:55:49,-5.0,On Time,937542,97.04,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04,114.16,15.0,365,2.29,,3,The product met my expectations.,Customer Service,2024-05-07
964822979,88520326,2024-07-13,2024-07-13 10:49:00,2024-07-13 10:47:00,-2.0,On Time,455755,44.09,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,1.09,,3,Delivery was late and I was unhappy.,Product Quality,2024-07-13
6037899648,22738465,2024-03-27,2024-03-27 18:00:43,2024-03-27 18:04:43,4.0,On Time,669378,212.14,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,4.56,Traffic,3,"Delivery was fine, but the product could be better.",Product Quality,2024-03-27
9347571484,29562072,2024-11-02,2024-11-02 17:26:15,2024-11-02 17:39:15,13.0,Slightly Delayed,112390,877.98,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.98,1350.74,35.0,365,3.29,Traffic,3,I had a bad experience.,Product Quality,2024-11-02
3286177534,10225164,2023-06-24,2023-06-25 00:09:15,2023-06-25 00:07:15,-2.0,On Time,891833,493.19,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7,3.07,,3,The product met my expectations.,Delivery,2023-06-25
9073572548,97111069,2023-05-02,2023-05-02 23:25:42,2023-05-02 23:47:42,22.0,Significantly Delayed,60619,726.41,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.41,1037.73,30.0,180,4.77,Traffic,4,The product met my expectations.,Customer Service,2023-05-02
8395583761,1989720,2024-08-04,2024-08-04 23:53:44,2024-08-04 23:48:44,-5.0,On Time,561860,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,3.53,,4,Great prices and fast delivery!,App Experience,2024-08-04
6355378227,67092149,2023-08-11,2023-08-11 17:06:36,2023-08-11 17:05:36,-1.0,On Time,993331,102.44,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",102.44,120.52,15.0,365,3.91,,4,"Overall good experience, thank you!",Customer Service,2023-08-11
277376321,89784343,2024-07-28,2024-07-28 04:45:12,2024-07-28 04:44:12,-1.0,On Time,94225,77.11,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",77.11,102.81,25.0,365,3.85,,4,Great prices and fast delivery!,App Experience,2024-07-28
8559748526,45868300,2023-04-05,2023-04-05 18:27:19,2023-04-05 18:28:19,1.0,On Time,552496,508.0,Dish Soap,Household Care,Dhar PLC,508.0,677.33,25.0,365,0.94,Traffic,4,"Average experience, could improve.",App Experience,2023-04-05
1458051433,50760752,2024-04-26,2024-04-26 09:30:56,2024-04-26 09:26:56,-4.0,On Time,57405,607.67,Baby Food,Baby Care,Srinivas PLC,607.67,868.1,30.0,365,2.75,,4,The product met my expectations.,App Experience,2024-04-26
5838302640,96795047,2023-05-12,2023-05-12 06:02:25,2023-05-12 06:09:25,7.0,Slightly Delayed,240179,90.56,Cough Syrup,Pharmacy,Ram-Suri,90.56,113.2,20.0,365,1.7,Traffic,4,"It was okay, nothing special.",App Experience,2023-05-12
1380971977,16561710,2024-06-02,2024-06-02 13:21:55,2024-06-02 13:16:55,-5.0,On Time,602241,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,4.09,,3,"Delivery was fine, but the product could be better.",Product Quality,2024-06-02
1221099013,35156679,2023-07-23,2023-07-23 11:01:59,2023-07-23 11:03:59,2.0,On Time,131937,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,3.15,Traffic,4,"Nothing to complain about, but nothing exceptional.",Customer Service,2023-07-23
6771166303,87718744,2023-07-24,2023-07-24 04:36:07,2023-07-24 04:48:07,12.0,Slightly Delayed,677542,212.61,Toilet Cleaner,Household Care,Thaman-Lanka,212.61,283.48,25.0,365,2.55,Traffic,3,The order was incorrect.,Product Quality,2023-07-24
7111337755,10524732,2023-05-06,2023-05-06 06:07:44,2023-05-06 06:04:44,-3.0,On Time,888807,230.58,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20.0,7,3.44,,4,"Average experience, could improve.",Customer Service,2023-05-06
5562922993,62416456,2023-12-06,2023-12-06 02:14:19,2023-12-06 02:17:19,3.0,On Time,540618,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,1.64,Traffic,4,"Nothing to complain about, but nothing exceptional.",Product Quality,2023-12-06
5630957897,69925688,2024-06-18,2024-06-18 07:32:42,2024-06-18 07:36:42,4.0,On Time,876139,415.75,Pulses,Grocery & Staples,Cherian-Dara,415.75,489.12,15.0,365,3.92,Traffic,4,"Delivery was fine, but the product could be better.",Delivery,2024-06-18
1787380558,5140660,2023-11-08,2023-11-08 17:43:58,2023-11-08 17:45:58,2.0,On Time,444361,822.63,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",822.63,1028.29,20.0,365,2.8,Traffic,4,"Nothing to complain about, but nothing exceptional.",App Experience,2023-11-08
32613017,82594354,2023-03-17,2023-03-17 00:36:41,2023-03-17 00:36:41,0.0,On Time,451812,530.85,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",530.85,663.56,20.0,365,4.0,,5,"Excellent quality, will buy again!",Delivery,2023-03-17
2039041670,88324928,2024-11-01,2024-11-01 10:05:47,2024-11-01 10:20:47,15.0,Slightly Delayed,287070,443.17,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",443.17,521.38,15.0,365,2.12,Traffic,4,"Average experience, could improve.",Product Quality,2024-11-01
210693801,71235336,2024-08-21,2024-08-21 04:10:25,2024-08-21 04:12:25,2.0,On Time,432617,863.18,Baby Wipes,Baby Care,Dora-Pillai,863.18,1233.11,30.0,365,2.5,Traffic,3,Product was damaged during delivery.,Customer Service,2024-08-21
8120002258,57833505,2024-01-01,2024-01-01 00:15:08,2024-01-01 00:11:08,-4.0,On Time,131937,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,2.43,,3,"Nothing to complain about, but nothing exceptional.",Delivery,2024-01-01
2177917034,12402437,2024-02-08,2024-02-08 20:16:51,2024-02-08 20:25:51,9.0,Slightly Delayed,144124,162.67,Detergent,Household Care,Lalla-Srinivasan,162.67,216.89,25.0,365,0.73,Traffic,5,Will definitely order again.,App Experience,2024-02-08
4254814926,59890331,2024-04-21,2024-04-21 06:34:58,2024-04-21 06:33:58,-1.0,On Time,324809,608.0,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,1.74,,3,The packaging was poor.,App Experience,2024-04-21
6074172790,14944819,2023-07-26,2023-07-26 02:26:37,2023-07-26 02:30:37,4.0,On Time,888807,230.58,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20.0,7,2.48,Traffic,4,Good selection of products.,Customer Service,2023-07-26
3381573131,67386193,2024-07-16,2024-07-16 00:47:21,2024-07-16 00:42:21,-5.0,On Time,684939,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,4.91,,1,Delivery was late and I was unhappy.,Delivery,2024-07-16
3773745777,67701771,2024-05-02,2024-05-02 14:58:25,2024-05-02 14:58:25,0.0,On Time,734789,395.82,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",395.82,608.95,35.0,90,3.31,,4,"It was okay, nothing special.",Customer Service,2024-05-02
9251939156,89910157,2023-12-30,2023-12-30 12:51:53,2023-12-30 12:58:53,7.0,Slightly Delayed,876139,415.75,Pulses,Grocery & Staples,Cherian-Dara,415.75,489.12,15.0,365,2.35,Traffic,4,"Overall good experience, thank you!",App Experience,2023-12-30
3872982303,15484407,2024-02-03,2024-02-03 01:24:33,2024-02-03 01:25:33,1.0,On Time,56589,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,2.6,Traffic,4,"It was okay, nothing special.",Delivery,2024-02-03
2625987757,10769994,2023-08-01,2023-08-01 07:54:43,2023-08-01 07:56:43,2.0,On Time,890232,432.0,Mango Drink,Cold Drinks & Juices,Jha Group,432.0,617.14,30.0,180,4.7,Traffic,3,"It was okay, nothing special.",Delivery,2023-08-01
3162249401,85519349,2024-05-03,2024-05-03 13:31:58,2024-05-03 13:31:58,0.0,On Time,432617,863.18,Baby Wipes,Baby Care,Dora-Pillai,863.18,1233.11,30.0,365,1.72,,4,"Excellent quality, will buy again!",Delivery,2024-05-03
3108986741,49241309,2023-10-17,2023-10-17 19:43:19,2023-10-17 19:44:19,1.0,On Time,687218,317.82,Mango Drink,Cold Drinks & Juices,"Sankaran, Pall and Gola",317.82,454.03,30.0,180,2.09,Traffic,3,Product was damaged during delivery.,Product Quality,2023-10-17
1851474741,23348269,2023-11-01,2023-11-01 13:42:17,2023-11-01 13:51:17,9.0,Slightly Delayed,970529,827.44,Diapers,Baby Care,"Kurian, Patla and Sanghvi",827.44,1182.06,30.0,365,4.09,Traffic,2,The order was incorrect.,Product Quality,2023-11-01
2425099132,85016568,2023-08-15,2023-08-15 01:30:08,2023-08-15 01:34:08,4.0,On Time,604184,397.55,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",397.55,530.07,25.0,365,1.07,Traffic,4,"Delivery was fine, but the product could be better.",Product Quality,2023-08-15
6706793332,6247821,2024-10-09,2024-10-09 22:04:33,2024-10-09 22:16:33,12.0,Slightly Delayed,615545,448.16,Soap,Personal Care,Barman Inc,448.16,689.48,35.0,365,2.99,Traffic,2,I had a bad experience.,Delivery,2024-10-09
2149289255,57579640,2024-11-01,2024-11-01 15:20:29,2024-11-01 15:39:29,19.0,Significantly Delayed,567671,418.48,Biscuits,Snacks & Munchies,Nagar LLC,418.48,643.82,35.0,90,2.56,Traffic,3,Delivery was late and I was unhappy.,Product Quality,2024-11-01
1971008155,2457734,2023-10-23,2023-10-23 22:43:41,2023-10-23 22:39:41,-4.0,On Time,222892,869.22,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,0.86,,1,Items were missing from my order.,App Experience,2023-10-23
2087093460,59329145,2024-07-11,2024-07-11 11:42:57,2024-07-11 11:41:57,-1.0,On Time,34186,925.65,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3,0.77,,4,"Delivery was fine, but the product could be better.",Delivery,2024-07-11
2116712588,24043135,2023-11-11,2023-11-11 20:48:38,2023-11-11 20:51:38,3.0,On Time,891833,493.19,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7,4.26,Traffic,3,"It was okay, nothing special.",Delivery,2023-11-11
6054358790,59216664,2024-01-26,2024-01-26 10:31:06,2024-01-26 10:26:06,-5.0,On Time,532965,307.23,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,307.23,512.05,40.0,180,3.96,,3,"Average experience, could improve.",Product Quality,2024-01-26
532660797,41008070,2024-05-20,2024-05-20 06:37:18,2024-05-20 06:51:18,14.0,Slightly Delayed,962054,16.86,Orange Juice,Cold Drinks & Juices,Toor-Nagar,16.86,24.09,30.0,180,4.9,Traffic,3,"Delivery was fine, but the product could be better.",Delivery,2024-05-20
1491991005,52215833,2024-03-04,2024-03-04 09:01:03,2024-03-04 09:01:03,0.0,On Time,33955,186.08,Frozen Pizza,Instant & Frozen Food,Baral Group,186.08,310.13,40.0,180,0.89,,3,Very disappointed with the quality.,Product Quality,2024-03-04
4136019599,74179536,2024-03-23,2024-03-23 18:52:14,2024-03-23 18:55:14,3.0,On Time,644847,622.81,Salt,Grocery & Staples,"Jhaveri, Kata and Kapur",622.81,732.72,15.0,365,4.58,Traffic,4,"Excellent quality, will buy again!",App Experience,2024-03-23
2122832513,55028958,2024-02-17,2024-02-17 19:58:14,2024-02-17 20:18:14,20.0,Significantly Delayed,954722,616.45,Ice Cream,Instant & Frozen Food,Mohan-Virk,616.45,1027.42,40.0,180,3.97,Traffic,1,Customer service was not helpful.,Customer Service,2024-02-17
3717703595,88965399,2023-04-24,2023-04-24 21:52:02,2023-04-24 21:51:02,-1.0,On Time,500633,154.5,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,154.5,193.12,20.0,7,2.48,,4,"Excellent quality, will buy again!",Delivery,2023-04-24
3194733693,21866852,2023-07-05,2023-07-05 10:30:13,2023-07-05 10:37:13,7.0,Slightly Delayed,240179,90.56,Cough Syrup,Pharmacy,Ram-Suri,90.56,113.2,20.0,365,1.74,Traffic,4,The product met my expectations.,Product Quality,2023-07-05
4471162437,27971619,2024-02-06,2024-02-06 12:52:50,2024-02-06 12:52:50,0.0,On Time,820973,114.52,Baby Wipes,Baby Care,Lall LLC,114.52,163.6,30.0,365,3.78,,4,"It was okay, nothing special.",App Experience,2024-02-06
1609331948,8791577,2024-01-04,2024-01-04 14:19:21,2024-01-04 14:19:21,0.0,On Time,490602,549.47,Sugar,Grocery & Staples,Raghavan Inc,549.47,646.44,15.0,365,1.56,,3,"It was okay, nothing special.",Product Quality,2024-01-04
6920030794,70372270,2024-06-24,2024-06-24 02:51:36,2024-06-24 02:49:36,-2.0,On Time,256783,906.54,Pet Treats,Pet Care,"Basu, Thakur and Rege",906.54,1394.68,35.0,365,3.47,,3,The packaging was poor.,Customer Service,2024-06-24
5127172657,32293017,2024-06-11,2024-06-11 18:30:31,2024-06-11 18:50:31,20.0,Significantly Delayed,913428,392.22,Pet Treats,Pet Care,Narayanan-Kumar,392.22,603.42,35.0,365,4.41,Traffic,4,"Overall good experience, thank you!",Product Quality,2024-06-11
8607115856,15931134,2023-10-09,2023-10-09 04:52:34,2023-10-09 04:49:34,-3.0,On Time,324809,608.0,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,2.33,,4,The product met my expectations.,Customer Service,2023-10-09
7154957395,60700850,2023-04-09,2023-04-09 10:21:33,2023-04-09 10:21:33,0.0,On Time,516376,877.43,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,2.28,,3,"It was okay, nothing special.",App Experience,2023-04-09
2070762702,34761418,2023-10-04,2023-10-04 10:37:55,2023-10-04 10:52:55,15.0,Slightly Delayed,566052,87.3,Pain Reliever,Pharmacy,"Apte, Soman and Raju",87.3,109.12,20.0,365,3.61,Traffic,4,"Excellent quality, will buy again!",Product Quality,2023-10-04
3697242439,99361865,2024-10-15,2024-10-15 12:47:13,2024-10-15 12:46:13,-1.0,On Time,897083,972.69,Detergent,Household Care,Dutta-Halder,972.69,1296.92,25.0,365,4.71,,3,"Delivery was fine, but the product could be better.",Customer Service,2024-10-15
3063427913,75984768,2023-09-21,2023-09-21 02:34:46,2023-09-21 02:37:46,3.0,On Time,799952,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,4.76,Traffic,4,"Excellent quality, will buy again!",Customer Service,2023-09-21
2060061337,29272253,2023-04-15,2023-04-15 23:10:08,2023-04-15 23:22:08,12.0,Slightly Delayed,690565,951.27,Cookies,Snacks & Munchies,"Roy, Seth and Patla",951.27,1463.49,35.0,90,3.08,Traffic,1,Customer service was not helpful.,App Experience,2023-04-15
4625892678,80371626,2023-06-18,2023-06-18 19:35:45,2023-06-18 19:39:45,4.0,On Time,317242,198.15,Pulses,Grocery & Staples,Rastogi Group,198.15,233.12,15.0,365,2.74,Traffic,1,The packaging was poor.,Delivery,2023-06-18
6045698170,666589,2024-01-24,2024-01-24 17:14:49,2024-01-24 17:19:49,5.0,On Time,965755,532.57,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25.0,3,3.86,Traffic,5,Great prices and fast delivery!,Delivery,2024-01-24
7876289647,98858383,2024-08-07,2024-08-07 08:06:29,2024-08-07 08:18:29,12.0,Slightly Delayed,863930,242.57,Shampoo,Personal Care,"Sathe, Agarwal and Dhar",242.57,373.18,35.0,365,2.54,Traffic,4,The product met my expectations.,Delivery,2024-08-07
3434084714,46836361,2024-02-02,2024-02-02 03:06:20,2024-02-02 03:04:20,-2.0,On Time,264803,995.98,Vitamins,Pharmacy,Gole-Doshi,995.98,1244.97,20.0,365,3.51,,4,Highly recommended!,Product Quality,2024-02-02
9031695663,94730288,2024-01-17,2024-01-17 01:35:06,2024-01-17 01:41:06,6.0,Slightly Delayed,697683,123.74,Toilet Cleaner,Household Care,"Murty, Varghese and Saxena",123.74,164.99,25.0,365,3.71,Traffic,2,The packaging was poor.,App Experience,2024-01-17
1955989715,77862447,2023-12-27,2023-12-27 07:06:23,2023-12-27 07:08:23,2.0,On Time,679284,877.89,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,4.81,Traffic,4,"Nothing to complain about, but nothing exceptional.",Product Quality,2023-12-27
3459500455,16379942,2023-12-18,2023-12-18 00:52:55,2023-12-18 00:54:55,2.0,On Time,992178,632.43,Pain Reliever,Pharmacy,Basu and Sons,632.43,790.54,20.0,365,2.66,Traffic,4,Great prices and fast delivery!,Customer Service,2023-12-18
5953376503,79169760,2024-05-25,2024-05-25 04:08:54,2024-05-25 04:24:54,16.0,Significantly Delayed,300159,44.35,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",44.35,63.36,30.0,180,0.56,Traffic,5,Customer service was very helpful.,Customer Service,2024-05-25
121874867,94529626,2023-03-28,2023-03-28 01:10:55,2023-03-28 01:05:55,-5.0,On Time,952124,127.08,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25.0,3,3.08,,5,"Overall good experience, thank you!",Delivery,2023-03-28
2460545397,42872865,2024-10-27,2024-10-27 11:38:03,2024-10-27 11:49:03,11.0,Slightly Delayed,925482,475.04,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,475.04,791.73,40.0,180,2.53,Traffic,3,The product met my expectations.,Product Quality,2024-10-27
9690050839,55803572,2024-01-13,2024-01-13 02:44:24,2024-01-13 02:49:24,5.0,On Time,500633,154.5,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,154.5,193.12,20.0,7,3.82,Traffic,4,The product met my expectations.,App Experience,2024-01-13
2574349065,51547198,2024-04-17,2024-04-17 14:43:32,2024-04-17 14:44:32,1.0,On Time,123983,785.67,Cough Syrup,Pharmacy,Kurian-Chhabra,785.67,982.09,20.0,365,1.72,Traffic,4,"Nothing to complain about, but nothing exceptional.",Customer Service,2024-04-17
2461936988,14428954,2023-07-20,2023-07-20 23:29:57,2023-07-20 23:48:57,19.0,Significantly Delayed,272170,140.8,Ice Cream,Instant & Frozen Food,Purohit Group,140.8,234.67,40.0,180,4.4,Traffic,5,"Overall good experience, thank you!",App Experience,2023-07-20
6447596416,76987910,2023-10-08,2023-10-08 18:30:29,2023-10-08 18:26:29,-4.0,On Time,70969,631.7,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3,4.27,,4,Good selection of products.,Customer Service,2023-10-08
7228452275,42262168,2023-05-13,2023-05-13 01:25:33,2023-05-13 01:25:33,0.0,On Time,757274,98.32,Pet Treats,Pet Care,"Minhas, Kapoor and Sethi",98.32,151.26,35.0,365,4.62,,2,Product was damaged during delivery.,App Experience,2023-05-13
6696750742,5277675,2023-04-02,2023-04-02 17:54:16,2023-04-02 17:54:16,0.0,On Time,14145,630.84,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3,4.39,,5,"Overall good experience, thank you!",App Experience,2023-04-02
822235931,44410149,2023-08-09,2023-08-09 07:27:16,2023-08-09 07:42:16,15.0,Slightly Delayed,611575,482.06,Frozen Pizza,Instant & Frozen Food,"Bhat, Nigam and Hayer",482.06,803.43,40.0,180,1.42,Traffic,4,"Delivery was fine, but the product could be better.",Customer Service,2023-08-09
7678251499,17805991,2023-04-23,2023-04-23 13:37:40,2023-04-23 13:42:40,5.0,On Time,704868,193.46,Detergent,Household Care,"Parikh, Oak and Kara",193.46,257.95,25.0,365,1.85,Traffic,2,Taste was not as expected.,Product Quality,2023-04-23
2497341976,9097480,2023-09-21,2023-09-21 09:19:49,2023-09-21 09:20:49,1.0,On Time,451933,568.94,Wheat Flour,Grocery & Staples,Nadig Ltd,568.94,669.34,15.0,365,1.33,Traffic,1,Not worth the price I paid.,App Experience,2023-09-21
