주간_시작일,지역,상품명,주간_상품_판매량,주간_평균_최고기온,주간_평균_최저기온,주간_평균_일교차,주간_평균_강수량,주간_폭염_일수,주간_폭우_일수
2023-03-21,Danapur,Cheese,1,33.7,20.8,12.900000000000002,0.0,0.0,0.0
2023-03-21,Darbhanga,Bread,2,33.6,20.8,12.8,0.1,0.0,0.0
2023-03-21,Deoghar,Pulses,1,30.3,18.2,12.1,0.0,0.0,0.0
2023-03-21,Dindigul,Lotion,2,31.9,26.1,5.799999999999997,1.5,0.0,0.0
2023-03-21,Eluru,Wheat Flour,2,31.1,18.8,12.3,0.0,0.0,0.0
2023-03-21,Fatehpur,Frozen Biryani,2,25.0,16.6,8.399999999999999,24.5,0.0,0.0
2023-03-21,Ghaziabad,Pet Treats,3,25.0,16.6,8.399999999999999,24.5,0.0,0.0
2023-03-21,Gorakhpur,Chips,2,,,,,0.0,0.0
2023-03-21,Guwahati,Lotion,3,22.6,17.5,5.100000000000001,19.8,0.0,0.0
2023-03-21,Hazaribagh,Orange Juice,3,29.6,18.0,11.6,0.0,0.0,0.0
2023-03-21,Jabalpur,Instant Noodles,2,31.9,20.0,11.9,0.0,0.0,0.0
2023-03-21,Jehanabad,Lemonade,1,33.6,20.8,12.8,0.1,0.0,0.0
2023-03-21,Kakinada,Pulses,2,30.9,18.3,12.599999999999998,0.0,0.0,0.0
2023-03-21,Karawal Nagar,Dog Food,1,26.3,14.0,12.3,0.0,0.0,0.0
2023-03-21,Kottayam,Toilet Cleaner,1,31.6,25.5,6.100000000000001,1.3,0.0,0.0
2023-03-21,Machilipatnam,Detergent,1,31.1,20.9,10.200000000000005,0.7,0.0,0.0
2023-03-21,Morbi,Instant Noodles,3,35.2,20.0,15.200000000000005,0.0,0.0,0.0
2023-03-21,Morena,Toothpaste,1,28.5,16.0,12.5,0.2,0.0,0.0
2023-03-21,Nagaon,Onions,1,22.6,17.5,5.100000000000001,19.8,0.0,0.0
2023-03-21,Nagpur,Cat Food,1,30.0,22.5,7.5,0.0,0.0,0.0
2023-03-21,Ongole,Vitamins,2,29.9,16.9,13.0,0.0,0.0,0.0
2023-03-21,Pallavaram,Pet Treats,1,30.7,26.5,4.199999999999999,0.7,0.0,0.0
2023-03-21,Pimpri-Chinchwad,Cheese,3,29.8,20.9,8.900000000000002,0.0,0.0,0.0
2023-03-21,Proddatur,Lemonade,2,30.9,18.3,12.599999999999998,0.0,0.0,0.0
2023-03-21,Pudukkottai,Cookies,1,30.5,24.4,6.100000000000001,0.3,0.0,0.0
2023-03-21,Purnia,Toilet Cleaner,3,33.6,20.8,12.8,0.1,0.0,0.0
2023-03-21,Raiganj,Biscuits,2,27.2,20.0,7.199999999999999,15.9,0.0,0.0
2023-03-21,Raiganj,Pet Treats,3,32.6,22.5,10.1,0.4,0.0,0.0
2023-03-21,Rajahmundry,Eggs,2,31.1,20.9,10.200000000000005,0.7,0.0,0.0
2023-03-21,Rajpur Sonarpur,Bread,1,32.6,22.5,10.1,0.4,0.0,0.0
2023-03-21,Ratlam,Frozen Biryani,3,31.9,20.0,11.9,0.0,0.0,0.0
2023-03-21,Sagar,Frozen Biryani,1,31.9,20.0,11.9,0.0,0.0,0.0
2023-03-21,Shahjahanpur,Cola,2,30.2,19.1,11.099999999999998,0.8,0.0,0.0
2023-03-21,South Dumdum,Cat Food,3,27.2,20.0,7.199999999999999,15.9,0.0,0.0
2023-03-21,Sultan Pur Majra,Lotion,3,26.8,15.4,11.4,0.0,0.0,0.0
2023-03-21,Surendranagar Dudhrej,Carrots,2,32.6,20.7,11.900000000000002,0.0,0.0,0.0
2023-03-21,Thane,Toilet Cleaner,1,29.0,21.8,7.199999999999999,0.7,0.0,0.0
2023-03-21,Thiruvananthapuram,Rice,3,31.6,25.5,6.100000000000001,1.3,0.0,0.0
2023-03-21,Tiruchirappalli,Pain Reliever,3,30.7,26.5,4.199999999999999,0.7,0.0,0.0
2023-03-21,Tiruvottiyur,Bread,2,31.5,26.1,5.399999999999999,0.6,0.0,0.0
2023-03-21,Udupi,Bread,1,33.6,19.2,14.400000000000002,0.0,0.0,0.0
2023-03-21,Vadodara,Frozen Vegetables,3,33.5,20.8,12.7,0.4,0.0,0.0
2023-03-21,Vijayanagaram,Potatoes,2,30.9,18.3,12.599999999999998,0.0,0.0,0.0
2023-03-21,Visakhapatnam,Carrots,1,31.1,18.8,12.3,0.0,0.0,0.0
2023-03-28,Agra,Chocolates,3,33.3,17.2,16.099999999999998,0.0,0.0,0.0
2023-03-28,Ahmednagar,Toilet Cleaner,2,29.5,22.7,6.800000000000001,0.2,0.0,0.0
2023-03-28,Amaravati,Lotion,3,33.4,20.8,12.599999999999998,0.5,0.0,0.0
2023-03-28,Amravati,Sugar,1,29.5,22.7,6.800000000000001,0.2,0.0,0.0
2023-03-28,Bardhaman,Pain Reliever,3,30.0,20.8,9.2,6.2,0.0,0.0
2023-03-28,Bhagalpur,Biscuits,1,34.0,21.0,13.0,0.0,0.0,0.0
2023-03-28,Bhatpara,Dog Food,3,33.3,22.6,10.699999999999996,0.0,0.0,0.0
2023-03-28,Bhopal,Cheese,1,32.1,20.0,12.1,0.0,0.0,0.0
2023-03-28,Bhubaneswar,Cat Food,1,34.6,23.2,11.400000000000002,0.5,0.0,0.0
2023-03-28,Bhusawal,Pet Treats,1,29.9,21.9,8.0,0.0,0.0,0.0
2023-03-28,Dehradun,Lemonade,3,28.3,15.9,12.4,0.0,0.0,0.0
2023-03-28,Delhi,Vitamins,1,24.1,17.0,7.100000000000001,9.4,0.0,0.0
2023-03-28,Etawah,Detergent,1,33.3,17.2,16.099999999999998,0.0,0.0,0.0
2023-03-28,Firozabad,Frozen Vegetables,3,30.7,19.5,11.2,8.7,0.0,0.0
2023-03-28,Gangtok,Toilet Cleaner,3,28.1,15.2,12.900000000000002,0.0,0.0,0.0
2023-03-28,Ghaziabad,Frozen Pizza,3,33.3,17.2,16.099999999999998,0.0,0.0,0.0
2023-03-28,Ghaziabad,Spinach,2,30.1,17.0,13.1,0.0,0.0,0.0
2023-03-28,Guna,Dish Soap,1,30.0,18.5,11.5,0.0,0.0,0.0
2023-03-28,Guntur,Orange Juice,2,34.3,20.5,13.799999999999995,0.0,0.0,0.0
2023-03-28,Gwalior,Onions,2,34.5,18.8,15.7,0.0,0.0,0.0
2023-03-28,Hosur,Cheese,3,31.5,24.8,6.699999999999999,0.0,0.0,0.0
2023-03-28,Hyderabad,Baby Wipes,2,34.8,21.0,13.799999999999995,0.0,0.0,0.0
2023-03-28,Indore,Dish Soap,3,30.0,18.5,11.5,0.0,0.0,0.0
2023-03-28,Jaipur,Cough Syrup,2,30.4,16.5,13.9,0.5,0.0,0.0
2023-03-28,Jalgaon,Frozen Biryani,1,30.1,22.7,7.400000000000002,0.0,0.0,0.0
2023-03-28,Jhansi,Frozen Biryani,2,33.3,17.2,16.099999999999998,0.0,0.0,0.0
2023-03-28,Jorhat,Biscuits,3,28.9,17.1,11.799999999999995,6.9,0.0,0.0
2023-03-28,Kalyan-Dombivli,Toothpaste,3,30.0,22.2,7.800000000000001,0.0,0.0,0.0
2023-03-28,Kishanganj,Pet Treats,1,35.8,20.8,14.999999999999996,0.0,0.0,0.0
2023-03-28,Korba,Cola,2,35.7,23.1,12.6,0.2,0.0,0.0
2023-03-28,Kozhikode,Pet Treats,1,31.1,24.6,6.5,0.1,0.0,0.0
2023-03-28,Latur,Frozen Biryani,1,30.0,22.2,7.800000000000001,0.0,0.0,0.0
2023-03-28,Latur,Sugar,1,29.4,23.7,5.699999999999999,0.4,0.0,0.0
2023-03-28,Maheshtala,Bread,3,33.5,23.9,9.6,2.1,0.0,0.0
2023-03-28,Malegaon,Baby Wipes,3,30.0,22.2,7.800000000000001,0.0,0.0,0.0
2023-03-28,Malegaon,Vitamins,1,30.1,22.7,7.400000000000002,0.0,0.0,0.0
2023-03-28,Miryalaguda,Onions,3,33.4,20.8,12.599999999999998,0.5,0.0,0.0
2023-03-28,Nellore,Lotion,2,34.2,21.4,12.800000000000004,0.0,0.0,0.0
2023-03-28,North Dumdum,Dog Food,2,32.8,24.9,7.899999999999999,1.0,0.0,0.0
2023-03-28,Ozhukarai,Carrots,3,25.7,15.1,10.6,0.9,0.0,0.0
2023-03-28,Proddatur,Cough Syrup,1,33.4,20.8,12.599999999999998,0.5,0.0,0.0
2023-03-28,Pudukkottai,Onions,3,32.0,25.9,6.100000000000001,0.1,0.0,0.0
2023-03-28,Pune,Popcorn,2,30.0,22.1,7.899999999999999,0.0,0.0,0.0
2023-03-28,Raiganj,Dog Food,2,31.6,21.4,10.200000000000005,0.1,0.0,0.0
2023-03-28,Ramgarh,Tomatoes,1,29.7,17.2,12.5,0.0,0.0,0.0
2023-03-28,Shimoga,Eggs,1,34.7,20.4,14.300000000000004,0.0,0.0,0.0
2023-03-28,Sultan Pur Majra,Toilet Cleaner,3,31.2,16.4,14.8,0.0,0.0,0.0
2023-03-28,Surat,Chocolates,2,32.4,22.8,9.599999999999998,5.1,0.0,0.0
2023-03-28,Tadepalligudem,Dog Food,3,34.8,21.0,13.799999999999995,0.0,0.0,0.0
2023-03-28,Thane,Toilet Cleaner,2,30.1,22.7,7.400000000000002,0.0,0.0,0.0
2023-03-28,Tinsukia,Cat Food,3,28.6,18.0,10.6,0.2,0.0,0.0
2023-03-28,Tirupati,Pain Reliever,3,34.8,21.0,13.799999999999995,0.0,0.0,0.0
2023-03-28,Udaipur,Toilet Cleaner,1,26.9,16.2,10.7,5.3,0.0,0.0
2023-03-28,Vellore,Pet Treats,1,32.9,26.9,6.0,6.1,0.0,0.0
2023-04-04,Adoni,Frozen Pizza,2,33.7,22.5,11.200000000000005,2.5,0.0,0.0
2023-04-04,Allahabad,Wheat Flour,5,35.3,18.5,16.799999999999997,0.0,0.0,0.0
2023-04-04,Ambala,Butter,2,27.4,13.8,13.599999999999998,0.0,0.0,0.0
2023-04-04,Ambattur,Mangoes,3,32.8,26.5,6.299999999999997,0.1,0.0,0.0
2023-04-04,Aurangabad,Curd,2,31.0,21.9,9.1,0.0,0.0,0.0
2023-04-04,Ballia,Orange Juice,3,34.8,19.5,15.299999999999995,0.0,0.0,0.0
2023-04-04,Bareilly,Soap,1,34.8,19.5,15.299999999999995,0.0,0.0,0.0
2023-04-04,Bathinda,Pain Reliever,1,30.5,17.5,13.0,0.0,0.0,0.0
2023-04-04,Belgaum,Eggs,3,32.1,20.3,11.8,0.0,0.0,0.0
2023-04-04,Bellary,Eggs,2,32.4,18.2,14.2,0.0,0.0,0.0
2023-04-04,Bellary,Instant Noodles,3,31.1,20.9,10.200000000000005,0.6,0.0,0.0
2023-04-04,Bhagalpur,Frozen Vegetables,3,37.3,22.4,14.9,0.0,0.0,0.0
2023-04-04,Bhimavaram,Dish Soap,3,33.7,22.5,11.200000000000005,2.5,0.0,0.0
2023-04-04,Bhubaneswar,Lotion,1,36.5,24.4,12.1,2.6,0.0,0.0
2023-04-04,Bihar Sharif,Vitamins,1,37.4,23.0,14.4,0.0,0.0,0.0
2023-04-04,Dibrugarh,Carrots,3,32.8,19.6,13.199999999999996,0.0,0.0,0.0
2023-04-04,Durg,Lotion,2,34.7,22.1,12.6,0.3,0.0,0.0
2023-04-04,Guwahati,Lotion,1,29.8,17.4,12.400000000000002,0.0,0.0,0.0
2023-04-04,Gwalior,Cheese,1,34.3,19.8,14.499999999999996,0.0,0.0,0.0
2023-04-04,Hindupur,Carrots,1,34.8,22.9,11.9,1.5,0.0,0.0
2023-04-04,Hospet,Dog Food,3,32.5,19.0,13.5,0.0,0.0,0.0
2023-04-04,Ichalkaranji,Chips,2,33.0,23.4,9.6,0.0,0.0,0.0
2023-04-04,Ichalkaranji,Cola,3,35.8,25.6,10.199999999999996,0.0,0.0,0.0
2023-04-04,Imphal,Curd,3,33.1,18.0,15.1,0.0,0.0,0.0
2023-04-04,Jamalpur,Baby Wipes,1,35.7,20.9,14.800000000000004,0.0,0.0,0.0
2023-04-04,Jammu,Pet Treats,3,30.2,16.2,14.0,0.0,0.0,0.0
2023-04-04,Jamnagar,Baby Food,3,39.5,25.9,13.6,0.0,1.0,0.0
2023-04-04,Jodhpur,Carrots,2,34.8,19.8,14.999999999999996,0.0,0.0,0.0
2023-04-04,Kakinada,Baby Wipes,2,34.3,21.4,12.9,0.0,0.0,0.0
2023-04-04,Karaikudi,Frozen Pizza,1,32.3,25.5,6.799999999999997,0.0,0.0,0.0
2023-04-04,Katihar,Cough Syrup,2,37.3,22.4,14.9,0.0,0.0,0.0
2023-04-04,Kishanganj,Frozen Pizza,3,35.5,20.5,15.0,0.0,0.0,0.0
2023-04-04,Kishanganj,Salt,2,37.3,22.4,14.9,0.0,0.0,0.0
2023-04-04,Machilipatnam,Lotion,1,33.7,22.5,11.200000000000005,2.5,0.0,0.0
2023-04-04,Madhyamgram,Pet Treats,1,35.8,25.0,10.799999999999995,0.0,0.0,0.0
2023-04-04,Maheshtala,Lotion,1,37.0,22.4,14.6,0.0,0.0,0.0
2023-04-04,Malda,Cheese,2,36.8,23.3,13.499999999999996,0.0,0.0,0.0
2023-04-04,Mangalore,Sugar,3,31.1,20.9,10.200000000000005,0.6,0.0,0.0
2023-04-04,Mau,Mangoes,3,33.5,19.2,14.3,0.0,0.0,0.0
2023-04-04,Meerut,Detergent,2,36.0,18.9,17.1,0.0,0.0,0.0
2023-04-04,Nandyal,Tomatoes,2,33.7,22.5,11.200000000000005,2.5,0.0,0.0
2023-04-04,Narasaraopet,Soap,1,34.8,22.9,11.9,1.5,0.0,0.0
2023-04-04,New Delhi,Soap,1,33.2,19.7,13.500000000000004,0.0,0.0,0.0
2023-04-04,Nizamabad,Vitamins,3,34.4,22.4,12.0,0.0,0.0,0.0
2023-04-04,North Dumdum,Pulses,2,34.9,23.8,11.099999999999998,0.3,0.0,0.0
2023-04-04,Panihati,Cola,3,34.9,23.8,11.099999999999998,0.3,0.0,0.0
2023-04-04,Patiala,Chips,2,28.4,16.5,11.9,0.0,0.0,0.0
2023-04-04,Patna,Dog Food,2,35.7,20.9,14.800000000000004,0.0,0.0,0.0
2023-04-04,Rajahmundry,Bread,2,34.8,22.9,11.9,1.5,0.0,0.0
2023-04-04,Rajahmundry,Milk,3,33.7,22.5,11.200000000000005,2.5,0.0,0.0
2023-04-04,Ratlam,Dish Soap,1,34.7,20.3,14.400000000000002,0.0,0.0,0.0
2023-04-04,Rohtak,Ice Cream,3,29.4,17.2,12.2,0.0,0.0,0.0
2023-04-04,Singrauli,Nuts,3,33.8,22.1,11.699999999999996,0.0,0.0,0.0
2023-04-04,Srinagar,Bread,1,31.3,16.6,14.7,0.0,0.0,0.0
2023-04-04,Tezpur,Onions,1,32.8,19.6,13.199999999999996,0.0,0.0,0.0
2023-04-04,Thanjavur,Bananas,3,32.8,26.5,6.299999999999997,0.1,0.0,0.0
2023-04-04,Thiruvananthapuram,Pet Treats,3,30.8,25.5,5.300000000000001,3.8,0.0,0.0
2023-04-04,Thoothukudi,Biscuits,3,32.7,26.5,6.200000000000003,0.1,0.0,0.0
2023-04-04,Thrissur,Salt,2,30.8,25.5,5.300000000000001,3.8,0.0,0.0
2023-04-04,Tumkur,Vitamins,3,32.2,19.5,12.700000000000005,0.0,0.0,0.0
2023-04-04,Vellore,Mango Drink,1,32.0,25.5,6.5,0.0,0.0,0.0
2023-04-11,Amritsar,Frozen Vegetables,3,37.4,20.1,17.299999999999997,0.0,0.0,0.0
2023-04-11,Baranagar,Eggs,1,42.0,28.1,13.9,0.0,1.0,0.0
2023-04-11,Bathinda,Frozen Vegetables,3,35.1,21.4,13.700000000000005,0.0,0.0,0.0
2023-04-11,Berhampore,Lotion,1,42.5,25.4,17.1,0.0,1.0,0.0
2023-04-11,Bhatpara,Toilet Cleaner,3,42.0,28.1,13.9,0.0,1.0,0.0
2023-04-11,Bhimavaram,Pet Treats,2,37.1,22.4,14.700000000000005,0.0,0.0,0.0
2023-04-11,Bhopal,Dog Food,2,38.2,26.1,12.1,0.0,1.0,0.0
2023-04-11,Bongaigaon,Baby Wipes,1,32.3,18.1,14.199999999999996,0.0,0.0,0.0
2023-04-11,Bulandshahr,Baby Wipes,1,36.7,19.0,17.700000000000003,0.0,0.0,0.0
2023-04-11,Chandigarh,Pet Treats,1,35.9,19.4,16.5,0.0,0.0,0.0
2023-04-11,Chennai,Sugar,1,34.2,24.5,9.700000000000005,0.0,0.0,0.0
2023-04-11,Dehri,Vitamins,3,38.1,21.9,16.200000000000003,0.0,1.0,0.0
2023-04-11,Durg,Mangoes,3,38.5,22.4,16.1,0.0,1.0,0.0
2023-04-11,Etawah,Cola,3,41.7,24.1,17.6,0.0,1.0,0.0
2023-04-11,Gandhinagar,Popcorn,3,39.5,26.5,13.0,0.0,1.0,0.0
2023-04-11,Gandhinagar,Toilet Cleaner,3,39.5,26.5,13.0,0.0,1.0,0.0
2023-04-11,Gandhinagar,Vitamins,2,39.5,24.8,14.7,0.0,1.0,0.0
2023-04-11,Gangtok,Shampoo,2,39.0,24.4,14.6,0.0,1.0,0.0
2023-04-11,Gorakhpur,Frozen Biryani,1,,,,,0.0,0.0
2023-04-11,Gudivada,Diapers,2,36.3,24.0,12.299999999999995,0.0,0.0,0.0
2023-04-11,Hajipur,Mangoes,2,40.5,25.2,15.3,0.0,1.0,0.0
2023-04-11,Hazaribagh,Mangoes,3,34.7,21.8,12.900000000000002,0.0,0.0,0.0
2023-04-11,Jaipur,Frozen Biryani,2,36.9,22.5,14.4,0.0,0.0,0.0
2023-04-11,Jamalpur,Pulses,2,40.5,25.2,15.3,0.0,1.0,0.0
2023-04-11,Jorhat,Shampoo,1,32.3,18.1,14.199999999999996,0.0,0.0,0.0
2023-04-11,Kamarhati,Biscuits,1,42.0,28.1,13.9,0.0,1.0,0.0
2023-04-11,Karimnagar,Baby Wipes,1,37.1,22.4,14.700000000000005,0.0,0.0,0.0
2023-04-11,Karimnagar,Onions,2,37.0,24.3,12.7,0.0,0.0,0.0
2023-04-11,Kolhapur,Cookies,1,35.2,25.1,10.1,0.0,0.0,0.0
2023-04-11,Kolkata,Mango Drink,3,41.4,26.0,15.4,0.0,1.0,0.0
2023-04-11,Kozhikode,Lotion,3,32.2,26.5,5.700000000000003,0.2,0.0,0.0
2023-04-11,Latur,Frozen Vegetables,3,34.0,24.0,10.0,0.0,0.0,0.0
2023-04-11,Mahbubnagar,Mango Drink,2,36.5,23.4,13.1,0.0,0.0,0.0
2023-04-11,Morbi,Tomatoes,1,39.5,25.0,14.5,0.0,1.0,0.0
2023-04-11,Mysore,Frozen Pizza,3,34.2,19.5,14.700000000000005,0.0,0.0,0.0
2023-04-11,Nagpur,Pulses,1,34.9,26.5,8.399999999999999,0.0,0.0,0.0
2023-04-11,Naihati,Cough Syrup,2,41.4,26.0,15.4,0.0,1.0,0.0
2023-04-11,Nandyal,Cough Syrup,1,37.0,24.5,12.5,0.0,0.0,0.0
2023-04-11,Noida,Vitamins,3,39.2,24.4,14.800000000000004,0.0,1.0,0.0
2023-04-11,North Dumdum,Frozen Biryani,1,41.4,26.0,15.4,0.0,1.0,0.0
2023-04-11,Panipat,Tomatoes,3,36.2,21.6,14.6,0.0,0.0,0.0
2023-04-11,Panvel,Lotion,2,34.0,24.0,10.0,0.0,0.0,0.0
2023-04-11,Parbhani,Popcorn,1,34.0,24.5,9.5,0.0,0.0,0.0
2023-04-11,Patiala,Pet Treats,3,33.8,20.1,13.699999999999996,0.0,0.0,0.0
2023-04-11,Patna,Soap,2,41.8,24.9,16.9,0.0,1.0,0.0
2023-04-11,Phagwara,Vitamins,3,37.5,19.6,17.9,0.0,0.0,0.0
2023-04-11,Proddatur,Diapers,3,37.6,23.5,14.1,0.0,0.0,0.0
2023-04-11,Raiganj,Potatoes,3,42.0,28.1,13.9,0.0,1.0,0.0
2023-04-11,Rajkot,Dish Soap,1,39.5,26.5,13.0,0.0,1.0,0.0
2023-04-11,Rampur,Detergent,3,39.5,22.5,17.0,0.0,1.0,0.0
2023-04-11,Ratlam,Potatoes,1,37.3,25.4,11.9,0.0,0.0,0.0
2023-04-11,Rewa,Eggs,3,35.6,20.6,15.0,0.0,0.0,0.0
2023-04-11,Rewa,Salt,3,37.2,24.5,12.700000000000005,0.0,0.0,0.0
2023-04-11,Salem,Pet Treats,3,34.2,24.5,9.700000000000005,0.0,0.0,0.0
2023-04-11,Sambhal,Cookies,1,41.7,24.1,17.6,0.0,1.0,0.0
2023-04-11,Sambhal,Onions,1,41.3,23.0,18.3,0.0,1.0,0.0
2023-04-11,Shahjahanpur,Wheat Flour,1,39.5,22.5,17.0,0.0,1.0,0.0
2023-04-11,Shimoga,Tomatoes,2,34.2,19.5,14.700000000000005,0.0,0.0,0.0
2023-04-11,Shivpuri,Cheese,1,37.5,24.9,12.6,0.0,0.0,0.0
2023-04-11,Siwan,Soap,2,38.1,21.9,16.200000000000003,0.0,1.0,0.0
2023-04-11,Sonipat,Orange Juice,3,37.5,19.6,17.9,0.0,0.0,0.0
2023-04-11,Srinagar,Detergent,3,39.0,24.4,14.6,0.0,1.0,0.0
2023-04-11,Tezpur,Instant Noodles,3,34.3,18.2,16.099999999999998,0.0,0.0,0.0
2023-04-11,Thrissur,Baby Wipes,3,32.0,26.1,5.899999999999999,0.1,0.0,0.0
2023-04-18,Agra,Lemonade,3,42.1,26.7,15.400000000000002,0.0,1.0,0.0
2023-04-18,Ahmednagar,Vitamins,1,32.3,24.1,8.199999999999996,0.0,0.0,0.0
2023-04-18,Ajmer,Popcorn,1,37.2,26.0,11.200000000000005,0.0,0.0,0.0
2023-04-18,Alappuzha,Lotion,2,31.1,26.2,4.900000000000002,3.9,0.0,0.0
2023-04-18,Ambarnath,Wheat Flour,1,31.6,23.8,7.800000000000001,0.0,0.0,0.0
2023-04-18,Amravati,Pulses,1,32.3,24.5,7.799999999999997,0.0,0.0,0.0
2023-04-18,Amritsar,Toilet Cleaner,3,37.8,21.6,16.199999999999996,0.0,0.0,0.0
2023-04-18,Bally,Cheese,2,41.2,26.3,14.900000000000002,0.0,1.0,0.0
2023-04-18,Bally,Ice Cream,2,30.0,22.9,7.100000000000001,13.3,0.0,0.0
2023-04-18,Bangalore,Cough Syrup,1,35.5,21.0,14.5,0.0,0.0,0.0
2023-04-18,Bangalore,Toilet Cleaner,2,33.8,21.4,12.4,0.0,0.0,0.0
2023-04-18,Begusarai,Frozen Pizza,3,37.8,27.2,10.599999999999998,0.0,0.0,0.0
2023-04-18,Bhilwara,Chips,1,35.6,22.5,13.1,0.0,0.0,0.0
2023-04-18,Bihar Sharif,Detergent,1,37.8,27.2,10.599999999999998,0.0,0.0,0.0
2023-04-18,Bihar Sharif,Potatoes,3,34.6,25.5,9.1,0.0,0.0,0.0
2023-04-18,Bilaspur,Lotion,1,34.8,22.2,12.599999999999998,0.2,0.0,0.0
2023-04-18,Dhule,Detergent,1,31.5,24.4,7.100000000000001,0.0,0.0,0.0
2023-04-18,Durg,Chips,2,34.8,22.2,12.599999999999998,0.2,0.0,0.0
2023-04-18,Fatehpur,Bread,2,35.3,25.1,10.199999999999996,0.0,0.0,0.0
2023-04-18,Ghaziabad,Detergent,2,35.3,25.1,10.199999999999996,0.0,0.0,0.0
2023-04-18,Gorakhpur,Vitamins,2,,,,,0.0,0.0
2023-04-18,Gudivada,Baby Food,1,35.0,23.1,11.9,1.6,0.0,0.0
2023-04-18,Guntakal,Frozen Biryani,3,35.0,21.9,13.1,0.0,0.0,0.0
