주문날짜,상품_ID,상품명,카테고리,브랜드,유통기한_일수,지역,회원타입,금액,배송_지연시간,배송소요시간,수량,평점,상품별_평균평점,temp_max(최고 기온),temp_min(최저 기온),rain_pre(강수량 합계),temp_range(최고 기온-최저 기온),heatwave(폭염),heavy_rain(폭우)
2024-10-09,615545,Soap,Personal Care,Barman Inc,365,Panvel,Regular,896.32,12.0,26.0,2,2,3.05,29.1,25.0,6.4,4.100000000000001,0.0,0.0
2024-11-01,567671,Biscuits,Snacks & Munchies,Nagar LLC,90,Siwan,Premium,1255.44,19.0,39.0,3,3,3.28,33.0,22.5,0.0,10.5,0.0,0.0
2023-10-23,222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,3,Ahmednagar,Premium,869.22,-4.0,16.0,1,1,3.0,34.8,23.8,0.0,10.999999999999996,0.0,0.0
2024-07-11,34186,Mangoes,Fruits & Vegetables,Mandal-Kar,3,Gulbarga,Regular,1851.3,-1.0,10.0,2,4,3.55,26.9,20.2,3.7,6.699999999999999,0.0,0.0
2023-11-11,891833,Curd,Dairy & Breakfast,Mani PLC,7,Bijapur,Inactive,493.19,3.0,18.0,1,3,3.5,28.0,16.9,0.0,11.100000000000001,0.0,0.0
2024-01-26,532965,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,180,Deoghar,Regular,307.23,-5.0,15.0,1,3,3.64,20.9,7.5,0.0,13.399999999999999,0.0,0.0
2024-05-20,962054,Orange Juice,Cold Drinks & Juices,Toor-Nagar,180,Vijayawada,New,33.72,14.0,26.0,2,3,3.44,32.7,23.1,9.2,9.600000000000001,0.0,0.0
2024-03-04,33955,Frozen Pizza,Instant & Frozen Food,Baral Group,180,Sirsa,Regular,186.08,0.0,12.0,1,3,3.31,18.7,9.3,0.0,9.399999999999999,0.0,0.0
2024-03-23,644847,Salt,Grocery & Staples,"Jhaveri, Kata and Kapur",365,Nizamabad,Inactive,1868.43,3.0,17.0,3,4,3.53,35.3,20.9,0.0,14.399999999999999,0.0,0.0
2024-02-17,954722,Ice Cream,Instant & Frozen Food,Mohan-Virk,180,Howrah,New,616.45,20.0,30.0,1,1,3.09,28.1,15.1,0.0,13.000000000000002,0.0,0.0
2023-04-24,500633,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,7,Guntur,Regular,463.5,-1.0,18.0,3,4,2.96,33.0,23.6,4.2,9.399999999999999,0.0,0.0
2023-07-05,240179,Cough Syrup,Pharmacy,Ram-Suri,365,Guwahati,Premium,181.12,7.0,24.0,2,4,3.15,32.7,24.1,30.4,8.600000000000001,0.0,0.0
2024-02-06,820973,Baby Wipes,Baby Care,Lall LLC,365,Mirzapur,New,114.52,0.0,14.0,1,4,3.39,20.6,11.0,0.0,9.600000000000001,0.0,0.0
2024-01-04,490602,Sugar,Grocery & Staples,Raghavan Inc,365,Madhyamgram,Regular,1648.41,0.0,13.0,3,3,3.25,25.4,12.8,0.0,12.599999999999998,0.0,0.0
2024-06-24,256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",365,Ichalkaranji,New,1813.08,-2.0,12.0,2,3,3.55,29.6,26.0,11.3,3.6000000000000014,0.0,0.0
2024-06-11,913428,Pet Treats,Pet Care,Narayanan-Kumar,365,Gudivada,Inactive,784.44,20.0,39.0,2,4,3.22,31.0,23.0,6.0,8.0,0.0,0.0
2023-10-09,324809,Bread,Dairy & Breakfast,Sidhu PLC,7,Darbhanga,Inactive,608.0,-3.0,7.0,1,4,3.23,33.5,25.0,0.0,8.5,0.0,0.0
2023-04-09,516376,Onions,Fruits & Vegetables,Agarwal-Dhar,3,Tezpur,Regular,877.43,0.0,11.0,1,3,3.26,32.8,19.6,0.0,13.199999999999996,0.0,0.0
2023-10-04,566052,Pain Reliever,Pharmacy,"Apte, Soman and Raju",365,Bhilwara,New,261.9,15.0,32.0,3,4,3.69,35.0,20.2,0.0,14.8,0.0,0.0
2024-10-15,897083,Detergent,Household Care,Dutta-Halder,365,Berhampur,New,1945.38,-1.0,16.0,2,3,3.28,32.2,24.0,1.8,8.200000000000003,0.0,0.0
2023-09-21,799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,7,Guwahati,Regular,1845.28,3.0,20.0,2,4,3.41,28.2,24.6,25.5,3.599999999999998,0.0,0.0
2023-04-15,690565,Cookies,Snacks & Munchies,"Roy, Seth and Patla",90,Kolhapur,New,951.27,12.0,26.0,1,1,2.88,35.2,25.1,0.0,10.100000000000001,0.0,0.0
2023-06-18,317242,Pulses,Grocery & Staples,Rastogi Group,365,Karimnagar,New,198.15,4.0,16.0,1,1,3.33,36.5,28.0,0.0,8.5,0.0,0.0
2024-01-24,965755,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",3,Morbi,Regular,1597.71,5.0,16.0,3,5,3.47,27.1,13.6,0.0,13.500000000000002,0.0,0.0
2024-08-07,863930,Shampoo,Personal Care,"Sathe, Agarwal and Dhar",365,Dehri,Regular,242.57,12.0,23.0,1,4,3.67,31.9,25.4,15.5,6.5,0.0,0.0
2024-02-02,264803,Vitamins,Pharmacy,Gole-Doshi,365,Bikaner,Premium,1991.96,-2.0,10.0,2,4,3.26,22.8,12.4,0.1,10.4,0.0,0.0
2024-01-17,697683,Toilet Cleaner,Household Care,"Murty, Varghese and Saxena",365,Rampur,Regular,123.74,6.0,18.0,1,2,3.47,17.5,5.7,0.0,11.8,0.0,0.0
2023-12-27,679284,Cough Syrup,Pharmacy,Pant LLC,365,Bally,New,877.89,2.0,16.0,1,4,3.29,26.5,14.8,0.0,11.7,0.0,0.0
2023-12-18,992178,Pain Reliever,Pharmacy,Basu and Sons,365,Orai,Inactive,632.43,2.0,17.0,1,4,3.0,22.1,9.2,0.0,12.900000000000002,0.0,0.0
2024-05-25,300159,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",180,Nagaon,New,44.35,16.0,31.0,1,5,3.08,37.0,25.0,0.0,12.0,0.0,0.0
2023-03-28,952124,Onions,Fruits & Vegetables,"Wali, Sood and Bala",3,Pudukkottai,New,381.24,-5.0,12.0,3,5,3.57,32.0,25.9,0.1,6.100000000000001,0.0,0.0
2024-10-27,925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,180,Bulandshahr,Inactive,475.04,11.0,23.0,1,3,3.46,30.9,21.2,0.3,9.7,0.0,0.0
2024-01-13,500633,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,7,Rewa,Premium,309.0,5.0,15.0,2,4,2.96,27.2,13.1,0.0,14.1,0.0,0.0
2024-04-17,123983,Cough Syrup,Pharmacy,Kurian-Chhabra,365,Agartala,Premium,2357.01,1.0,11.0,3,4,3.37,35.3,22.2,0.0,13.099999999999998,0.0,0.0
2023-07-20,272170,Ice Cream,Instant & Frozen Food,Purohit Group,180,Medininagar,Premium,281.6,19.0,37.0,2,5,3.18,28.9,23.4,4.0,5.5,0.0,0.0
2023-10-08,70969,Carrots,Fruits & Vegetables,Mohan Group,3,Shahjahanpur,Inactive,631.7,-4.0,8.0,1,4,3.14,34.8,23.2,0.0,11.599999999999998,0.0,0.0
2023-05-13,757274,Pet Treats,Pet Care,"Minhas, Kapoor and Sethi",365,Avadi,Regular,196.64,0.0,19.0,2,2,3.55,39.9,28.7,0.0,11.2,1.0,0.0
2023-04-02,14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",3,Ghaziabad,Premium,1261.68,0.0,11.0,2,5,3.29,30.1,17.0,0.0,13.100000000000001,0.0,0.0
2023-08-09,611575,Frozen Pizza,Instant & Frozen Food,"Bhat, Nigam and Hayer",180,Pondicherry,New,1446.18,15.0,25.0,3,4,3.5,34.5,27.4,0.0,7.100000000000001,0.0,0.0
2023-04-23,704868,Detergent,Household Care,"Parikh, Oak and Kara",365,Dhule,New,193.46,5.0,15.0,1,2,3.16,31.5,24.4,0.0,7.100000000000001,0.0,0.0
2023-09-21,451933,Wheat Flour,Grocery & Staples,Nadig Ltd,365,Bihar Sharif,Premium,568.94,1.0,14.0,1,1,3.16,30.0,24.8,13.8,5.199999999999999,0.0,0.0
2024-05-20,820541,Toilet Cleaner,Household Care,"Borde, Peri and Upadhyay",365,Thane,Premium,1728.66,-1.0,17.0,3,2,2.88,35.1,29.1,0.0,6.0,0.0,0.0
2023-05-17,349294,Onions,Fruits & Vegetables,Ganesan Ltd,3,Ranchi,Premium,1869.5,-2.0,13.0,2,4,3.73,37.5,23.9,0.0,13.600000000000001,0.0,0.0
2024-07-19,615545,Soap,Personal Care,Barman Inc,365,Chandrapur,New,896.32,4.0,22.0,2,1,3.05,27.3,25.6,48.3,1.6999999999999993,0.0,0.0
2024-07-07,654297,Potatoes,Fruits & Vegetables,Chandran-Dass,3,Gandhidham,New,39.75,2.0,15.0,3,5,3.59,33.2,26.9,2.4,6.300000000000004,0.0,0.0
2023-09-07,451933,Wheat Flour,Grocery & Staples,Nadig Ltd,365,Patna,Regular,1137.88,-5.0,12.0,2,4,3.16,33.1,26.8,5.1,6.300000000000001,0.0,0.0
2024-08-27,613942,Pet Treats,Pet Care,"Dyal, Saraf and Goel",365,Etawah,Premium,1090.0,26.0,46.0,2,3,3.19,30.5,25.6,9.6,4.899999999999999,0.0,0.0
2024-10-30,366066,Soap,Personal Care,Mandal LLC,365,Kumbakonam,New,918.58,3.0,16.0,1,3,3.44,31.5,25.5,4.8,6.0,0.0,0.0
2024-11-03,287070,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",365,Latur,Inactive,443.17,3.0,22.0,1,4,3.42,34.2,22.2,0.0,12.000000000000004,0.0,0.0
2024-07-26,137909,Cough Syrup,Pharmacy,Dalal PLC,365,Tiruppur,New,864.3,-2.0,9.0,1,3,3.25,36.5,27.5,4.6,9.0,0.0,0.0
2024-09-14,700048,Dish Soap,Household Care,Khalsa-Bhavsar,365,Bettiah,Premium,423.84,26.0,40.0,3,4,3.33,30.9,26.2,6.1,4.699999999999999,0.0,0.0
2023-12-16,256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",365,South Dumdum,Premium,1813.08,3.0,17.0,2,5,3.55,24.6,12.4,0.0,12.200000000000001,0.0,0.0
2023-04-09,131136,Salt,Grocery & Staples,Deshpande-Rama,365,Thrissur,Premium,75.6,-5.0,14.0,2,5,3.73,30.8,25.5,3.8,5.300000000000001,0.0,0.0
2023-11-20,15314,Cheese,Dairy & Breakfast,Banik-Ratta,7,Tiruvottiyur,New,1736.5500000000002,27.0,46.0,3,2,3.24,27.1,24.8,16.9,2.3000000000000007,0.0,0.0
2024-03-07,39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",3,Aligarh,Inactive,2840.58,4.0,22.0,3,4,3.4,24.8,10.4,0.0,14.4,0.0,0.0
2023-07-26,661577,Cat Food,Pet Care,Majumdar PLC,365,Kottayam,New,720.95,9.0,22.0,1,4,3.0,27.6,23.4,10.1,4.200000000000003,0.0,0.0
2024-08-08,723678,Dog Food,Pet Care,"Lall, Datta and Swamy",365,Bulandshahr,New,2026.38,-5.0,12.0,3,2,3.0,31.2,25.2,19.6,6.0,0.0,0.0
2023-09-25,557908,Vitamins,Pharmacy,Sundaram Inc,365,Udaipur,Inactive,2827.11,5.0,20.0,3,3,3.54,32.3,23.6,0.3,8.699999999999996,0.0,0.0
2024-02-01,336847,Toilet Cleaner,Household Care,"Dayal, Mammen and More",365,Silchar,Regular,1873.96,0.0,14.0,2,4,3.63,22.2,12.8,0.1,9.399999999999999,0.0,0.0
2023-04-11,34186,Mangoes,Fruits & Vegetables,Mandal-Kar,3,Durg,New,2776.95,-1.0,12.0,3,3,3.55,38.5,22.4,0.0,16.1,1.0,0.0
2024-06-01,94225,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",365,Howrah,Inactive,154.22,-4.0,13.0,2,5,3.38,34.5,27.8,0.7,6.699999999999999,0.0,0.0
2023-09-08,257719,Eggs,Dairy & Breakfast,Chaudhuri PLC,7,Aurangabad,Regular,563.46,-3.0,7.0,2,3,3.41,28.1,25.6,50.6,2.5,0.0,1.0
2024-06-24,118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",180,Bhubaneswar,Regular,36.96,-4.0,11.0,3,2,3.86,34.5,27.9,0.1,6.600000000000001,0.0,0.0
2024-03-20,336847,Toilet Cleaner,Household Care,"Dayal, Mammen and More",365,Satara,New,936.98,12.0,30.0,1,4,3.63,38.0,21.2,0.0,16.8,1.0,0.0
2024-04-07,327290,Sugar,Grocery & Staples,Nadkarni Inc,365,Madhyamgram,Regular,862.28,-1.0,16.0,1,4,3.5,36.2,26.2,2.5,10.000000000000004,0.0,0.0
2023-05-17,679284,Cough Syrup,Pharmacy,Pant LLC,365,Agra,Premium,2633.67,-3.0,10.0,3,3,3.29,41.5,26.1,0.0,15.399999999999999,1.0,0.0
2023-09-19,803607,Soap,Personal Care,"Kadakia, Mohan and Sathe",365,Orai,Inactive,949.73,5.0,20.0,1,4,2.89,32.5,25.5,7.3,7.0,0.0,0.0
2024-02-08,615545,Soap,Personal Care,Barman Inc,365,Visakhapatnam,Regular,896.32,-1.0,12.0,2,2,3.05,33.1,20.5,0.0,12.600000000000001,0.0,0.0
2024-04-22,951463,Pet Treats,Pet Care,Balakrishnan-Kaur,365,Vijayanagaram,Premium,2362.2,-4.0,11.0,3,1,3.41,37.0,25.7,0.0,11.3,0.0,0.0
2023-11-04,566052,Pain Reliever,Pharmacy,"Apte, Soman and Raju",365,Jhansi,Regular,261.9,21.0,36.0,3,4,3.69,30.4,18.0,0.0,12.399999999999999,0.0,0.0
2023-12-30,552496,Dish Soap,Household Care,Dhar PLC,365,Sri Ganganagar,Premium,1016.0,24.0,40.0,2,3,3.56,21.5,9.1,0.0,12.4,0.0,0.0
2024-07-15,500633,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,7,Eluru,Premium,463.5,-3.0,8.0,3,1,2.96,29.1,23.2,5.4,5.900000000000002,0.0,0.0
2024-03-31,274207,Cough Syrup,Pharmacy,"Savant, Batta and Mander",365,Dindigul,New,328.51,3.0,15.0,1,4,3.16,33.6,24.5,0.0,9.100000000000001,0.0,0.0
2024-01-16,256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",365,Bareilly,Regular,906.54,9.0,24.0,1,3,3.55,18.0,5.2,0.0,12.8,0.0,0.0
2024-04-10,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",180,Bareilly,Premium,575.62,-3.0,14.0,2,2,3.32,38.5,21.0,0.0,17.5,1.0,0.0
2023-11-19,67197,Butter,Dairy & Breakfast,Shetty-Bora,7,Bongaigaon,Premium,1104.4,25.0,42.0,2,1,3.16,27.2,15.9,0.0,11.299999999999999,0.0,0.0
2023-10-02,329351,Cheese,Dairy & Breakfast,"Lala, Kalita and Sathe",7,Fatehpur,New,932.61,-2.0,12.0,3,5,3.35,30.9,25.4,19.1,5.5,0.0,0.0
2024-08-29,154179,Pain Reliever,Pharmacy,"Barad, Devi and Andra",365,Burhanpur,Premium,1165.74,13.0,24.0,2,4,3.7,29.1,22.9,2.7,6.200000000000003,0.0,0.0
2023-05-27,317242,Pulses,Grocery & Staples,Rastogi Group,365,Thanjavur,New,198.15,8.0,28.0,1,2,3.33,37.7,28.2,0.0,9.500000000000004,0.0,0.0
2023-07-13,492958,Lotion,Personal Care,Acharya PLC,365,Bareilly,Regular,168.4,1.0,11.0,2,4,3.29,32.5,26.3,36.8,6.199999999999999,0.0,0.0
2024-04-21,647462,Lotion,Personal Care,"Balan, Samra and Sekhon",365,Dehradun,Regular,979.26,1.0,17.0,3,5,3.61,36.6,23.6,0.0,13.0,0.0,0.0
2024-08-27,585299,Pet Treats,Pet Care,"Sharma, Chandra and Prashad",365,Udupi,Inactive,799.46,-1.0,13.0,1,4,2.89,26.7,19.8,1.7,6.899999999999999,0.0,0.0
