주문날짜,상품명,수량,금액,평점,배송소요시간,카테고리,브랜드,수량_lag_1,평점_lag_1,수량_lag_7,평점_lag_7,주문_증가량,평점_변화
2023-09-11,Baby Food,3,2794.83,4.0,16.0,Baby Care,Karnik PLC,2.0,2.0,3.0,2.0,1.0,2.0
2023-09-17,Baby Food,3,675.63,3.0,17.0,Baby Care,Sehgal-Nagarajan,3.0,4.0,1.0,3.0,0.0,-1.0
2023-09-19,Baby Food,1,931.61,3.0,15.0,Baby Care,Karnik PLC,3.0,3.0,3.0,1.0,-2.0,0.0
2023-09-27,Baby Food,2,473.02,4.0,21.0,Baby Care,Kashyap-Reddy,1.0,3.0,3.0,4.0,1.0,1.0
2023-09-28,Baby Food,2,473.02,5.0,15.0,Baby Care,Kashyap-Reddy,2.0,4.0,2.0,4.0,0.0,1.0
2023-10-02,Baby Food,2,1863.22,5.0,18.0,Baby Care,Karnik PLC,2.0,5.0,1.0,3.0,0.0,0.0
2023-10-03,Baby Food,3,1451.85,4.5,13.5,Baby Care,Srinivas PLC,2.0,5.0,2.0,2.0,1.0,-0.5
2023-10-05,Baby Food,2,1863.22,4.0,22.0,Baby Care,Karnik PLC,3.0,4.5,3.0,4.0,-1.0,-0.5
2023-10-15,Baby Food,2,1863.22,3.0,17.0,Baby Care,Karnik PLC,2.0,4.0,3.0,3.0,0.0,-1.0
2023-10-18,Baby Food,3,2794.83,2.0,26.0,Baby Care,Karnik PLC,2.0,3.0,1.0,3.0,1.0,-1.0
2023-10-20,Baby Food,2,450.42,5.0,19.0,Baby Care,Sehgal-Nagarajan,3.0,2.0,2.0,4.0,-1.0,3.0
2023-10-23,Baby Food,4,1500.02,3.0,18.0,Baby Care,"Garg, Saraf and Dutta",2.0,5.0,2.0,5.0,2.0,-2.0
2023-10-31,Baby Food,1,607.67,1.0,21.0,Baby Care,Srinivas PLC,4.0,3.0,2.0,5.0,-3.0,-2.0
2023-11-01,Baby Food,1,931.61,3.0,10.0,Baby Care,Karnik PLC,1.0,1.0,3.0,4.5,0.0,2.0
2023-11-03,Baby Food,3,568.41,1.0,20.0,Baby Care,"Garg, Saraf and Dutta",1.0,3.0,2.0,4.0,2.0,-2.0
2023-11-07,Baby Food,3,2794.83,4.0,14.0,Baby Care,Karnik PLC,3.0,1.0,2.0,3.0,0.0,3.0
2023-11-10,Baby Food,3,2744.64,1.0,34.0,Baby Care,Mallick PLC,3.0,4.0,3.0,2.0,0.0,-3.0
2023-11-13,Baby Food,2,1863.22,5.0,24.0,Baby Care,Karnik PLC,3.0,1.0,2.0,5.0,-1.0,4.0
2023-11-17,Baby Food,3,568.41,3.0,8.0,Baby Care,"Garg, Saraf and Dutta",2.0,5.0,4.0,3.0,1.0,-2.0
2023-11-26,Baby Food,3,2794.83,5.0,48.0,Baby Care,Karnik PLC,3.0,3.0,1.0,1.0,0.0,2.0
2023-11-27,Baby Food,1,931.61,5.0,36.0,Baby Care,Karnik PLC,3.0,5.0,1.0,3.0,-2.0,0.0
2023-12-06,Baby Food,2,450.42,2.0,27.0,Baby Care,Sehgal-Nagarajan,1.0,5.0,3.0,1.0,1.0,-3.0
2023-12-12,Baby Food,3,675.63,4.0,26.0,Baby Care,Sehgal-Nagarajan,2.0,2.0,3.0,4.0,1.0,2.0
2023-12-14,Baby Food,1,914.88,1.0,19.0,Baby Care,Mallick PLC,3.0,4.0,3.0,1.0,-2.0,-3.0
2023-12-17,Baby Food,2,378.94,3.0,22.0,Baby Care,"Garg, Saraf and Dutta",1.0,1.0,2.0,5.0,1.0,2.0
2023-12-24,Baby Food,2,1215.34,1.0,13.0,Baby Care,Srinivas PLC,2.0,3.0,3.0,3.0,0.0,-2.0
2023-12-25,Baby Food,1,931.61,4.0,23.0,Baby Care,Karnik PLC,2.0,1.0,3.0,5.0,-1.0,3.0
2024-01-02,Baby Food,3,568.41,1.0,20.0,Baby Care,"Garg, Saraf and Dutta",1.0,4.0,1.0,5.0,2.0,-3.0
2024-01-03,Baby Food,3,1823.01,1.0,11.0,Baby Care,Srinivas PLC,3.0,1.0,2.0,2.0,0.0,0.0
2024-01-12,Baby Food,1,225.21,5.0,9.0,Baby Care,Sehgal-Nagarajan,3.0,1.0,3.0,4.0,-2.0,4.0
2024-01-13,Baby Food,1,189.47,4.0,8.0,Baby Care,"Garg, Saraf and Dutta",1.0,5.0,1.0,1.0,0.0,-1.0
2024-01-23,Baby Food,3,2794.83,3.0,18.0,Baby Care,Karnik PLC,1.0,4.0,2.0,3.0,2.0,-1.0
2024-01-25,Baby Food,2,473.02,3.0,20.0,Baby Care,Kashyap-Reddy,3.0,3.0,2.0,1.0,-1.0,0.0
2024-01-27,Baby Food,2,1215.34,4.0,19.0,Baby Care,Srinivas PLC,2.0,3.0,1.0,4.0,0.0,1.0
2024-01-31,Baby Food,1,914.88,3.0,16.0,Baby Care,Mallick PLC,2.0,4.0,3.0,1.0,-1.0,-1.0
2024-02-01,Baby Food,1,236.51,4.0,19.0,Baby Care,Kashyap-Reddy,1.0,3.0,3.0,1.0,0.0,1.0
2024-02-15,Baby Food,2,1829.76,3.0,21.0,Baby Care,Mallick PLC,1.0,4.0,1.0,5.0,1.0,-1.0
2024-02-27,Baby Food,3,675.63,5.0,11.0,Baby Care,Sehgal-Nagarajan,2.0,3.0,1.0,4.0,1.0,2.0
2024-03-08,Baby Food,3,986.6099999999999,4.0,32.0,Baby Care,Srinivas PLC,3.0,5.0,3.0,3.0,0.0,-1.0
2024-03-09,Baby Food,1,225.21,5.0,20.0,Baby Care,Sehgal-Nagarajan,3.0,4.0,2.0,3.0,-2.0,1.0
2024-03-11,Baby Food,1,225.21,3.0,9.0,Baby Care,Sehgal-Nagarajan,1.0,5.0,2.0,4.0,0.0,-2.0
2024-03-15,Baby Food,5,1126.05,4.0,19.0,Baby Care,Sehgal-Nagarajan,1.0,3.0,1.0,3.0,4.0,1.0
2024-03-24,Baby Food,3,709.53,4.0,20.0,Baby Care,Kashyap-Reddy,5.0,4.0,1.0,4.0,-2.0,0.0
2024-03-30,Baby Food,3,2744.64,4.0,39.0,Baby Care,Mallick PLC,3.0,4.0,2.0,3.0,0.0,0.0
2024-04-04,Baby Food,2,1215.34,2.0,22.0,Baby Care,Srinivas PLC,3.0,4.0,3.0,5.0,-1.0,-2.0
2024-04-12,Baby Food,2,1863.22,3.0,11.0,Baby Care,Karnik PLC,2.0,2.0,3.0,4.0,0.0,1.0
2024-04-16,Baby Food,1,607.67,4.0,38.0,Baby Care,Srinivas PLC,2.0,3.0,1.0,5.0,-1.0,1.0
2024-04-18,Baby Food,3,2744.64,4.0,9.0,Baby Care,Mallick PLC,1.0,4.0,1.0,3.0,2.0,0.0
2024-04-19,Baby Food,1,931.61,1.0,10.0,Baby Care,Karnik PLC,3.0,4.0,5.0,4.0,-2.0,-3.0
2024-04-23,Baby Food,3,2744.64,3.0,22.0,Baby Care,Mallick PLC,1.0,1.0,3.0,4.0,2.0,2.0
2024-04-25,Baby Food,2,1215.34,5.0,17.0,Baby Care,Srinivas PLC,3.0,3.0,3.0,4.0,-1.0,2.0
2024-04-26,Baby Food,3,1823.01,4.0,12.0,Baby Care,Srinivas PLC,2.0,5.0,2.0,2.0,1.0,-1.0
2024-05-07,Baby Food,1,914.88,3.0,24.0,Baby Care,Mallick PLC,3.0,4.0,2.0,3.0,-2.0,-1.0
2024-05-11,Baby Food,2,1829.76,5.0,12.0,Baby Care,Mallick PLC,1.0,3.0,1.0,4.0,1.0,2.0
2024-05-22,Baby Food,2,1863.22,5.0,18.0,Baby Care,Karnik PLC,2.0,5.0,3.0,4.0,0.0,0.0
2024-06-02,Baby Food,2,1863.22,4.0,18.0,Baby Care,Karnik PLC,2.0,5.0,1.0,1.0,0.0,-1.0
2024-06-10,Baby Food,3,568.41,1.0,16.0,Baby Care,"Garg, Saraf and Dutta",2.0,4.0,3.0,3.0,1.0,-3.0
2024-06-11,Baby Food,4,2981.1499999999996,3.0,10.5,Baby Care,Mallick PLC,3.0,1.0,2.0,5.0,1.0,2.0
2024-06-15,Baby Food,2,1829.76,4.0,10.0,Baby Care,Mallick PLC,4.0,3.0,3.0,4.0,-2.0,1.0
2024-06-23,Baby Food,1,189.47,1.0,30.0,Baby Care,"Garg, Saraf and Dutta",2.0,4.0,1.0,3.0,-1.0,-3.0
2024-06-27,Baby Food,3,709.53,4.0,18.5,Baby Care,Kashyap-Reddy,1.0,1.0,2.0,5.0,2.0,3.0
2024-07-01,Baby Food,2,1829.76,1.0,11.0,Baby Care,Mallick PLC,3.0,4.0,2.0,5.0,-1.0,-3.0
2024-07-07,Baby Food,2,1863.22,5.0,12.0,Baby Care,Karnik PLC,2.0,1.0,2.0,4.0,0.0,4.0
2024-07-09,Baby Food,2,473.02,3.0,13.0,Baby Care,Kashyap-Reddy,2.0,5.0,3.0,1.0,0.0,-2.0
2024-07-12,Baby Food,3,675.63,5.0,9.0,Baby Care,Sehgal-Nagarajan,2.0,3.0,4.0,3.0,1.0,2.0
2024-07-17,Baby Food,3,709.53,4.0,19.0,Baby Care,Kashyap-Reddy,3.0,5.0,2.0,4.0,0.0,-1.0
2024-07-24,Baby Food,3,675.63,2.0,15.0,Baby Care,Sehgal-Nagarajan,3.0,4.0,1.0,1.0,0.0,-2.0
2024-07-30,Baby Food,2,473.02,1.0,27.0,Baby Care,Kashyap-Reddy,3.0,2.0,3.0,4.0,-1.0,-1.0
2024-08-06,Baby Food,1,914.88,4.0,22.0,Baby Care,Mallick PLC,2.0,1.0,2.0,1.0,-1.0,3.0
2024-08-14,Baby Food,3,675.63,3.0,15.0,Baby Care,Sehgal-Nagarajan,1.0,4.0,2.0,5.0,2.0,-1.0
2024-08-15,Baby Food,3,568.41,5.0,20.0,Baby Care,"Garg, Saraf and Dutta",3.0,3.0,2.0,3.0,0.0,2.0
2024-08-19,Baby Food,3,1823.01,4.0,24.0,Baby Care,Srinivas PLC,3.0,5.0,3.0,5.0,0.0,-1.0
2024-08-27,Baby Food,2,1863.22,4.0,22.0,Baby Care,Karnik PLC,3.0,4.0,3.0,4.0,-1.0,0.0
2024-09-02,Baby Food,2,450.42,4.0,23.0,Baby Care,Sehgal-Nagarajan,2.0,4.0,3.0,2.0,0.0,0.0
2024-09-08,Baby Food,2,473.02,1.0,12.0,Baby Care,Kashyap-Reddy,2.0,4.0,2.0,1.0,0.0,-3.0
2024-09-16,Baby Food,2,378.94,3.0,21.0,Baby Care,"Garg, Saraf and Dutta",2.0,1.0,1.0,4.0,0.0,2.0
2024-10-07,Baby Food,1,225.21,5.0,16.0,Baby Care,Sehgal-Nagarajan,2.0,3.0,3.0,3.0,-1.0,2.0
2024-10-11,Baby Food,2,1829.76,5.0,30.0,Baby Care,Mallick PLC,1.0,5.0,3.0,5.0,1.0,0.0
2024-10-16,Baby Food,1,225.21,1.0,18.0,Baby Care,Sehgal-Nagarajan,2.0,5.0,3.0,4.0,-1.0,-4.0
2024-10-19,Baby Food,3,709.53,2.0,35.0,Baby Care,Kashyap-Reddy,1.0,1.0,2.0,4.0,2.0,1.0
2024-10-24,Baby Food,1,931.61,4.0,29.0,Baby Care,Karnik PLC,3.0,2.0,2.0,4.0,-2.0,2.0
2024-10-25,Baby Food,3,2794.83,5.0,12.0,Baby Care,Karnik PLC,1.0,4.0,2.0,1.0,2.0,1.0
2024-11-03,Baby Food,1,931.61,2.0,18.0,Baby Care,Karnik PLC,3.0,5.0,2.0,3.0,-2.0,-3.0
2023-04-17,Baby Wipes,3,2589.54,3.0,31.0,Baby Care,Dora-Pillai,1.0,3.0,5.0,4.5,2.0,0.0
2023-04-22,Baby Wipes,2,339.76,1.0,27.0,Baby Care,Morar-Mistry,3.0,3.0,2.0,4.0,-1.0,-2.0
2023-04-23,Baby Wipes,3,509.64,5.0,12.0,Baby Care,Morar-Mistry,2.0,1.0,3.0,4.0,1.0,4.0
2023-04-25,Baby Wipes,2,1880.74,2.5,17.0,Baby Care,Talwar and Sons,3.0,5.0,1.0,4.0,-1.0,-2.5
2023-04-26,Baby Wipes,1,941.19,4.0,14.0,Baby Care,Ranganathan-Peri,2.0,2.5,2.0,2.0,-1.0,1.5
2023-05-10,Baby Wipes,1,114.52,3.0,17.0,Baby Care,Lall LLC,1.0,4.0,2.0,2.5,0.0,-1.0
2023-05-14,Baby Wipes,2,1726.36,3.0,26.0,Baby Care,Dora-Pillai,1.0,3.0,1.0,3.0,1.0,0.0
2023-05-16,Baby Wipes,1,863.18,2.0,13.0,Baby Care,Dora-Pillai,2.0,3.0,3.0,3.0,-1.0,-1.0
2023-05-18,Baby Wipes,2,1882.38,3.0,20.0,Baby Care,Ranganathan-Peri,1.0,2.0,2.0,1.0,1.0,1.0
2023-05-22,Baby Wipes,1,941.19,4.0,17.0,Baby Care,Ranganathan-Peri,2.0,3.0,3.0,5.0,-1.0,1.0
2023-05-28,Baby Wipes,3,825.0899999999999,4.0,14.0,Baby Care,Loyal Inc,1.0,4.0,2.0,2.5,2.0,0.0
2023-06-01,Baby Wipes,1,275.03,5.0,8.0,Baby Care,Loyal Inc,3.0,4.0,1.0,4.0,-2.0,1.0
2023-06-02,Baby Wipes,3,343.56,4.0,9.0,Baby Care,Lall LLC,1.0,5.0,1.0,3.0,2.0,-1.0
2023-06-04,Baby Wipes,3,822.75,3.0,14.0,Baby Care,Balakrishnan Ltd,3.0,4.0,2.0,3.0,0.0,-1.0
2023-06-07,Baby Wipes,2,339.76,3.0,28.0,Baby Care,Morar-Mistry,3.0,3.0,1.0,2.0,-1.0,0.0
2023-06-08,Baby Wipes,1,426.72,2.0,19.0,Baby Care,Narula Group,2.0,3.0,2.0,3.0,-1.0,-1.0
2023-06-09,Baby Wipes,1,114.52,3.0,13.0,Baby Care,Lall LLC,1.0,2.0,1.0,4.0,0.0,1.0
2023-06-12,Baby Wipes,2,444.13,4.0,20.0,Baby Care,Morar-Mistry,1.0,3.0,3.0,4.0,1.0,1.0
2023-06-13,Baby Wipes,1,274.25,4.0,17.0,Baby Care,Balakrishnan Ltd,2.0,4.0,1.0,5.0,-1.0,0.0
2023-06-19,Baby Wipes,1,274.25,3.0,24.0,Baby Care,Balakrishnan Ltd,1.0,4.0,3.0,4.0,0.0,-1.0
2023-06-20,Baby Wipes,2,229.04,1.0,14.0,Baby Care,Lall LLC,1.0,3.0,3.0,3.0,1.0,-2.0
2023-06-21,Baby Wipes,3,825.0899999999999,1.0,18.0,Baby Care,Loyal Inc,2.0,1.0,2.0,3.0,1.0,0.0
2023-06-28,Baby Wipes,3,509.64,4.0,25.0,Baby Care,Morar-Mistry,3.0,1.0,1.0,2.0,0.0,3.0
2023-06-29,Baby Wipes,3,822.75,4.0,24.5,Baby Care,Balakrishnan Ltd,3.0,4.0,1.0,3.0,0.0,0.0
2023-07-01,Baby Wipes,3,2823.57,3.0,17.0,Baby Care,Ranganathan-Peri,3.0,4.0,2.0,4.0,0.0,-1.0
2023-07-03,Baby Wipes,1,426.72,1.0,12.0,Baby Care,Narula Group,3.0,3.0,1.0,4.0,-2.0,-2.0
2023-07-05,Baby Wipes,1,939.55,3.0,16.0,Baby Care,Talwar and Sons,1.0,1.0,1.0,3.0,0.0,2.0
2023-07-06,Baby Wipes,1,275.03,3.0,10.0,Baby Care,Loyal Inc,1.0,3.0,2.0,1.0,0.0,0.0
2023-07-09,Baby Wipes,1,169.88,4.0,23.0,Baby Care,Morar-Mistry,1.0,3.0,3.0,1.0,0.0,1.0
2023-07-12,Baby Wipes,2,548.5,4.0,15.0,Baby Care,Balakrishnan Ltd,1.0,4.0,3.0,4.0,1.0,0.0
2023-07-23,Baby Wipes,2,548.5,5.0,24.0,Baby Care,Balakrishnan Ltd,2.0,4.0,3.0,4.0,0.0,1.0
2023-07-25,Baby Wipes,1,169.88,5.0,26.0,Baby Care,Morar-Mistry,2.0,5.0,3.0,3.0,-1.0,0.0
2023-07-27,Baby Wipes,3,1993.62,4.5,19.5,Baby Care,Lall LLC,1.0,5.0,1.0,1.0,2.0,-0.5
2023-07-31,Baby Wipes,1,939.55,1.0,14.0,Baby Care,Talwar and Sons,3.0,4.5,1.0,3.0,-2.0,-3.5
2023-08-02,Baby Wipes,3,2589.54,4.0,26.0,Baby Care,Dora-Pillai,1.0,1.0,1.0,3.0,2.0,3.0
2023-08-05,Baby Wipes,1,114.52,2.0,17.0,Baby Care,Lall LLC,3.0,4.0,1.0,4.0,-2.0,-2.0
2023-08-13,Baby Wipes,2,1726.36,2.0,19.0,Baby Care,Dora-Pillai,1.0,2.0,2.0,4.0,1.0,0.0
2023-08-16,Baby Wipes,3,1280.16,4.0,10.0,Baby Care,Narula Group,2.0,2.0,2.0,5.0,1.0,2.0
2023-09-04,Baby Wipes,1,275.03,1.0,17.0,Baby Care,Loyal Inc,3.0,4.0,1.0,5.0,-2.0,-3.0
2023-09-05,Baby Wipes,4,2988.53,3.5,14.0,Baby Care,Morar-Mistry,1.0,1.0,3.0,4.5,3.0,2.5
2023-09-07,Baby Wipes,4,1766.28,2.5,15.5,Baby Care,Ranganathan-Peri,4.0,3.5,1.0,1.0,0.0,-1.0
2023-09-09,Baby Wipes,1,863.18,1.0,43.0,Baby Care,Dora-Pillai,4.0,2.5,3.0,4.0,-3.0,-1.5
2023-09-10,Baby Wipes,3,822.75,2.0,23.0,Baby Care,Balakrishnan Ltd,1.0,1.0,1.0,2.0,2.0,1.0
2023-09-14,Baby Wipes,2,339.76,3.0,17.0,Baby Care,Morar-Mistry,3.0,2.0,2.0,2.0,-1.0,1.0
2023-09-16,Baby Wipes,1,274.25,1.0,20.0,Baby Care,Balakrishnan Ltd,2.0,3.0,3.0,4.0,-1.0,-2.0
2023-09-22,Baby Wipes,1,426.72,3.0,20.0,Baby Care,Narula Group,1.0,1.0,1.0,1.0,0.0,2.0
2023-09-28,Baby Wipes,2,339.76,5.0,24.0,Baby Care,Morar-Mistry,1.0,3.0,4.0,3.5,1.0,2.0
2023-09-30,Baby Wipes,2,1879.1,5.0,12.0,Baby Care,Talwar and Sons,2.0,5.0,4.0,2.5,0.0,0.0
2023-10-01,Baby Wipes,1,114.52,4.0,11.0,Baby Care,Lall LLC,2.0,5.0,1.0,1.0,-1.0,-1.0
2023-10-04,Baby Wipes,3,343.56,5.0,16.0,Baby Care,Lall LLC,1.0,4.0,3.0,2.0,2.0,1.0
2023-10-09,Baby Wipes,8,5054.65,1.0,26.333333333333332,Baby Care,Talwar and Sons,3.0,5.0,2.0,3.0,5.0,-4.0
2023-10-15,Baby Wipes,2,1726.36,1.0,21.0,Baby Care,Dora-Pillai,8.0,1.0,1.0,1.0,-6.0,0.0
2023-10-24,Baby Wipes,3,343.56,4.0,37.0,Baby Care,Lall LLC,2.0,1.0,1.0,3.0,1.0,3.0
2023-10-27,Baby Wipes,2,1726.36,3.0,23.0,Baby Care,Dora-Pillai,3.0,4.0,2.0,5.0,-1.0,-1.0
2023-10-28,Baby Wipes,3,822.75,5.0,20.0,Baby Care,Balakrishnan Ltd,2.0,3.0,2.0,5.0,1.0,2.0
2023-10-29,Baby Wipes,2,229.04,3.0,39.0,Baby Care,Lall LLC,3.0,5.0,1.0,4.0,-1.0,-2.0
2023-11-02,Baby Wipes,1,863.18,3.0,14.0,Baby Care,Dora-Pillai,2.0,3.0,3.0,5.0,-1.0,0.0
2023-11-04,Baby Wipes,3,343.56,3.0,15.0,Baby Care,Lall LLC,1.0,3.0,8.0,1.0,2.0,0.0
2023-11-09,Baby Wipes,3,1280.16,4.0,13.0,Baby Care,Narula Group,3.0,3.0,2.0,1.0,0.0,1.0
2023-11-18,Baby Wipes,3,822.75,5.0,16.0,Baby Care,Balakrishnan Ltd,3.0,4.0,3.0,4.0,0.0,1.0
2023-11-19,Baby Wipes,2,1879.1,1.0,20.0,Baby Care,Talwar and Sons,3.0,5.0,2.0,3.0,-1.0,-4.0
2023-11-20,Baby Wipes,1,169.88,4.0,18.0,Baby Care,Morar-Mistry,2.0,1.0,3.0,5.0,-1.0,3.0
2023-11-23,Baby Wipes,3,2823.57,4.0,13.0,Baby Care,Ranganathan-Peri,1.0,4.0,2.0,3.0,2.0,0.0
2023-12-03,Baby Wipes,1,426.72,4.0,21.0,Baby Care,Narula Group,3.0,4.0,1.0,3.0,-2.0,0.0
2023-12-05,Baby Wipes,2,1726.36,3.0,10.0,Baby Care,Dora-Pillai,1.0,4.0,3.0,3.0,1.0,-1.0
2023-12-10,Baby Wipes,1,274.25,4.0,20.0,Baby Care,Balakrishnan Ltd,2.0,3.0,3.0,4.0,-1.0,1.0
2023-12-22,Baby Wipes,1,114.52,2.0,17.0,Baby Care,Lall LLC,1.0,4.0,3.0,5.0,0.0,-2.0
2023-12-27,Baby Wipes,2,1879.1,4.0,10.0,Baby Care,Talwar and Sons,1.0,2.0,2.0,1.0,1.0,2.0
2023-12-30,Baby Wipes,3,2818.65,3.0,31.0,Baby Care,Talwar and Sons,2.0,4.0,1.0,4.0,1.0,-1.0
2024-01-02,Baby Wipes,2,1882.38,4.0,20.0,Baby Care,Ranganathan-Peri,3.0,3.0,3.0,4.0,-1.0,1.0
2024-01-05,Baby Wipes,2,853.44,3.0,12.0,Baby Care,Narula Group,2.0,4.0,1.0,4.0,0.0,-1.0
2024-01-08,Baby Wipes,1,941.19,5.0,9.0,Baby Care,Ranganathan-Peri,2.0,3.0,2.0,3.0,-1.0,2.0
2024-01-10,Baby Wipes,2,339.76,3.0,15.0,Baby Care,Morar-Mistry,1.0,5.0,1.0,4.0,1.0,-2.0
2024-01-19,Baby Wipes,3,2823.57,3.0,29.0,Baby Care,Ranganathan-Peri,2.0,3.0,1.0,2.0,1.0,0.0
2024-01-22,Baby Wipes,3,509.64,3.0,10.0,Baby Care,Morar-Mistry,3.0,3.0,2.0,4.0,0.0,0.0
2024-01-30,Baby Wipes,1,114.52,4.0,17.0,Baby Care,Lall LLC,3.0,3.0,3.0,3.0,-2.0,1.0
2024-02-06,Baby Wipes,1,114.52,4.0,14.0,Baby Care,Lall LLC,1.0,4.0,2.0,4.0,0.0,0.0
2024-02-10,Baby Wipes,3,343.56,1.0,26.0,Baby Care,Lall LLC,1.0,4.0,2.0,3.0,2.0,-3.0
2024-02-11,Baby Wipes,3,2818.65,1.0,13.0,Baby Care,Talwar and Sons,3.0,1.0,1.0,5.0,0.0,0.0
2024-02-18,Baby Wipes,3,343.56,4.0,24.0,Baby Care,Lall LLC,3.0,1.0,2.0,3.0,0.0,3.0
2024-02-21,Baby Wipes,6,5565.85,3.0,12.0,Baby Care,Talwar and Sons,3.0,4.0,3.0,3.0,3.0,-1.0
2024-02-29,Baby Wipes,1,275.03,3.0,28.0,Baby Care,Loyal Inc,6.0,3.0,3.0,3.0,-5.0,0.0
2024-03-03,Baby Wipes,1,426.72,1.0,35.0,Baby Care,Narula Group,1.0,3.0,1.0,4.0,0.0,-2.0
2024-03-11,Baby Wipes,3,343.56,5.0,23.0,Baby Care,Lall LLC,1.0,1.0,1.0,4.0,2.0,4.0
2024-03-15,Baby Wipes,1,426.72,3.0,19.0,Baby Care,Narula Group,3.0,5.0,3.0,1.0,-2.0,-2.0
2024-03-16,Baby Wipes,1,941.19,4.0,16.0,Baby Care,Ranganathan-Peri,1.0,3.0,3.0,1.0,0.0,1.0
2024-03-21,Baby Wipes,3,343.56,3.0,16.0,Baby Care,Lall LLC,1.0,4.0,3.0,4.0,2.0,-1.0
2024-03-26,Baby Wipes,3,343.56,4.0,22.0,Baby Care,Lall LLC,3.0,3.0,6.0,3.0,0.0,1.0
2024-03-27,Baby Wipes,4,3763.12,1.5,16.0,Baby Care,Ranganathan-Peri,3.0,4.0,1.0,3.0,1.0,-2.5
2024-04-08,Baby Wipes,2,229.04,3.0,39.0,Baby Care,Lall LLC,4.0,1.5,1.0,1.0,-2.0,1.5
2024-04-09,Baby Wipes,2,1726.36,4.0,18.0,Baby Care,Dora-Pillai,2.0,3.0,3.0,5.0,0.0,1.0
2024-04-15,Baby Wipes,3,967.96,4.0,18.0,Baby Care,Lall LLC,2.0,4.0,1.0,3.0,1.0,0.0
2024-04-17,Baby Wipes,2,1726.36,4.0,8.0,Baby Care,Dora-Pillai,3.0,4.0,1.0,4.0,-1.0,0.0
2024-04-19,Baby Wipes,3,343.56,4.0,24.0,Baby Care,Lall LLC,2.0,4.0,3.0,3.0,1.0,0.0
2024-04-23,Baby Wipes,3,343.56,4.0,28.0,Baby Care,Lall LLC,3.0,4.0,3.0,4.0,0.0,0.0
2024-04-24,Baby Wipes,1,169.88,3.0,15.0,Baby Care,Morar-Mistry,3.0,4.0,4.0,1.5,-2.0,-1.0
2024-04-26,Baby Wipes,1,114.52,4.0,23.0,Baby Care,Lall LLC,1.0,3.0,2.0,3.0,0.0,1.0
2024-04-27,Baby Wipes,2,550.06,3.0,8.0,Baby Care,Loyal Inc,1.0,4.0,2.0,4.0,1.0,-1.0
2024-05-03,Baby Wipes,4,3686.75,2.5,8.5,Baby Care,Dora-Pillai,2.0,3.0,3.0,4.0,2.0,-0.5
2024-05-07,Baby Wipes,2,1879.1,4.0,21.0,Baby Care,Talwar and Sons,4.0,2.5,2.0,4.0,-2.0,1.5
2024-05-08,Baby Wipes,1,275.03,4.0,22.0,Baby Care,Loyal Inc,2.0,4.0,3.0,4.0,-1.0,0.0
2024-05-09,Baby Wipes,2,853.44,3.0,9.0,Baby Care,Narula Group,1.0,4.0,3.0,4.0,1.0,-1.0
